Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
Tanggung jawab Dian seringan menggendong satu keluarga besar.,Tanggung jawabnya berat.,Tanggung jawabnya ringan.,0,"{
  ""answer"": 1
} 

Explanation: The metaphor ""menggendong satu keluarga besar"" implies that Dian's responsibility feels light and manageable, similar to carrying a large family with ease. This means that the closest meaning to the metaphor is option 1) Tanggung jawabnya ringan (Her responsibility is light).",1,,0
Jarak rumah ke sekolahnya sejauh rumah tetangga.,Sekolahnya jauh.,Sekolahnya dekat.,1,"{
""Answer"": 0,
""Explanation"": ""The metaphor is comparing the distance from the house to school with the distance from the house to the neighbor's house. Since the neighbor's house is close, the implication is that the school is also close.""
}",0,,0
Murid SMP itu setinggi pohon taoge.,Badan murid SMP itu tinggi.,Badan murid SMP itu pendek.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""Murid SMP itu setinggi pohon taoge"" compares the student's height to a bean sprout. In this case, it means that the student is short, similar to how a bean sprout is tall yet thin. Therefore, the closest meaning is option 1) Badan murid SMP itu pendek.",0,,0
Dia berlagak seperti anak ayam yang baru menetas.,Dia bersikap seenaknya.,Dia bersikap hati-hati.,1,"{
  ""answer"": 0
}

In this metaphor, ""Dia berlagak seperti anak ayam yang baru menetas."" is comparing someone's behavior to a newly-hatched chick. Chicks are known to act independently and confidently, hence the meaning closest to the metaphor would be ""Dia bersikap seenaknya"" which means ""He behaves as he pleases.""",0,,0
Mengobrol dengannya terasa seperti melakukan perjalanan ke bulan.,"Bersamanya, waktu berlalu dengan cepat.","Bersamanya, waktu berlalu dengan lambat.",1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Mengobrol dengannya terasa seperti melakukan perjalanan ke bulan."" suggests that talking to the person feels like a journey to the moon, which implies that time passes quickly when you are with them. So, the option ""Bersamanya, waktu berlalu dengan cepat."" is the closest meaning to the metaphor.",0,,0
Adik berlaku bak akan mengurus pinjaman di bank.,Adik sangat mandiri.,Adik sangat manja.,0,"{
	""answer"": 1
}

The metaphor ""Adik berlaku bak akan mengurus pinjaman di bank"" suggests that the younger sibling is behaving like they are going to handle a loan at the bank, which implies that the younger sibling is very dependent and needy, similar to how someone might need help or guidance when applying for a loan. Therefore, the closest meaning is ""Adik sangat manja"" (1).",1,,0
Nilai matematikanya setinggi mata kaki.,Nilai matematikanya jelek.,Nilai matematikanya bagus.,0,"{
  ""answer"": 1
}

Explanation: The metaphor ""Nilai matematikanya setinggi mata kaki"" compares the high value of the mathematical scores to the height of the feet, implying that the mathematical scores are good or high. So, the closest meaning to the metaphor is ""Nilai matematikanya bagus"" which means the mathematical scores are good.",1,,0
"Seperti membelah bolu, kerja di institusi kepolisian Indonesia.",Kerja menjadi Polisi di Indonesia itu beresiko.,Kerja menjadi Polisi di Indonesia itu mudah.,1,"{
  ""Explanation"": ""Membelah bolu adalah tugas yang rumit dan memerlukan ketelitian sehingga bisa diinterpretasikan bahwa kerja di institusi kepolisian Indonesia memiliki risiko dan kompleksitas yang tinggi."",
  ""Answer"": 0
}",0,,0
Semangatnya begitu keras bagaikan tahu.,Semangat yang keras.,Semangat yang lembek.,1,"{
  ""answer"": 0
}

Explanation: The metaphor compares someone's spirit to a firm tofu, emphasizing how strong and resilient it is. Therefore, the closer meaning to the metaphor is option 0) Semangat yang keras (Strong spirit).",0,,0
Anak-anak berderet bak ayam berjalan.,Barisannya beraturan.,Barisannya tidak beraturan.,1,"{
	""answer"": 0
} 

The metaphor ""Anak-anak berderet bak ayam berjalan"" compares children walking in a line to chickens walking in a row. Chickens walking in a row usually walk in a straight line, hence the closest meaning would be ""barisannya beraturan"" (option 0).",0,,0
Bangunan lama tersebut berdiri bak nyiur di tepi pantai.,Bangunannya kokoh.,Bangunannya tidak kokoh.,1,"{
	""answer"": 0
} 

The metaphor ""Bangunan lama tersebut berdiri bak nyiur di tepi pantai"" compares the old building to a coconut tree standing sturdy by the beach. This suggests that the building is strong and sturdy, similar to how a coconut tree is firmly rooted by the beach. Therefore, the meaning closest to the metaphor is Option 0) Bangunannya kokoh.",0,,0
"Dengan perawatan mahal, kulit Rika selembut pasir.",Kulit RIka lembut.,Kulit RIka kasar.,1,"{
  ""answer"": 0
} 

The metaphor ""kulit Rika selembut pasir"" suggests that Rika's skin is as soft as sand. Since sand is known to be soft and smooth, the meaning closest to the metaphor would be option 0) Kulit Rika lembut.",0,,0
"Lebaran kali ini, Jakarta seramai masjid di pelosok desa.",Jakarta ramai.,Jakarta sepi.,1,"{
  ""answer"": 0
}

Explanation: The metaphor compares Jakarta to a bustling mosque in a village, implying that Jakarta is crowded or lively. Therefore, the correct option is ""Jakarta ramai"" which means Jakarta is lively.",0,,0
Cahaya lampu kota ini apabila malam seperti kunang-kunang di siang hari.,Kota tersebut penuh cahaya.,Kota tersebut tidak terlihat cahayanya.,1,"{
  ""Explanation"": ""The metaphor is comparing the brightness of the city lights at night to fireflies in the daytime, indicating that the city is very well-lit at night."",
  ""Answer"": 0
}",0,,0
Guru Dita kesabarannya seluas empang.,Guru Dita sangat sabar.,Guru Dita tidak sabaran.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""kesabarannya seluas empang"" is meant to emphasize Guru Dita's vast patience, not the lack of patience. Option 0, ""Guru Dita sangat sabar,"" is the closest meaning to the metaphor.",0,,0
Sepatuku harum seperi tong sampah.,Sepatunya harum.,Sepatunya bau.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Sepatuku harum seperti tong sampah"" implies that the shoes (sepatu) are smelling good like a trash can (tong sampah), so the correct meaning would be that the shoes smell good (Sepatunya harum).",0,,0
Pernikahan mereka layaknya Popeye & Olive.,Pernikahan yang romantis.,Pernikahan yang penuh pertengkaran.,0,"{
  ""answer"": 1
}

This metaphor compares their marriage to Popeye and Olive, who are known for their constant bickering and arguments in the cartoon series. Therefore, the closest meaning to the metaphor would be ""Pernikahan yang penuh pertengkaran"" (Marriage full of arguments).",1,,0
Wajahku dan adikku ibarat bumi & langit.,Wajah adik kakak yang sangat berbeda.,Wajah adik kakak yang sangat mirip.,0,"{
  ""question"": ""Wajahku dan adikku ibarat bumi & langit."",
  ""option_selected"": 1,
  ""explanation"": ""The metaphor 'Wajahku dan adikku ibarat bumi & langit' suggests that the two faces (wajah) are very different, just like the earth (bumi) and the sky (langit) are different. It doesn't indicate similarity, but rather contrast."",
  ""output"": 1
}",1,,0
Wajahku dan adikku ibarat pinang di belah dua.,Wajah adik kakak yang sangat berbeda.,Wajah adik kakak yang sangat mirip.,1,"{
  ""answer"": 0,
  ""explanation"": ""The metaphor 'Wajahku dan adikku ibarat pinang di belah dua' compares the faces of the speaker and their sibling to a 'pinang' that is split in half. This metaphor suggests that the faces of the speaker and their sibling are very different, as splitting a pinang in half results in two distinct parts.""
}",0,,0
Jangan bertindak seperti orang berpelesir.,Tindakan yang penuh gelisah.,Tindakan yang terlalu santai.,1,"{
  ""answer"": 0
}  

The metaphor ""Jangan bertindak seperti orang berpelesir"" implies that one should not act in a carefree or leisurely manner, which is closer in meaning to option 0) Tindakan yang penuh gelisah (acting in a restless manner).",0,,0
Temanku tingkahnya serasa dirinya pemilik dapur tidak berasap.,Temannya bertingkah layaknya orang kaya.,Temannya bertingkah layaknya orang miskin.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""pemilik dapur tidak berasap"" refers to someone who acts as if they are in charge or wealthy. Therefore, the option ""0) Temannya bertingkah layaknya orang kaya."" is the closest meaning to the metaphor.",0,,0
Semoga rumahmu nanti sebesar kotak sepatu.,Rumah yang besar.,Rumah yang kecil.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Semoga rumahmu nanti sebesar kotak sepatu"" is comparing the size of the house to a shoebox. In this case, the intention is to wish for a big house, as shoeboxes are usually small in size. Therefore, the closest meaning to the metaphor is ""Rumah yang besar"" (Option 0).",0,,0
"Seperti air menenang, karirku sekarang.",Karir yang diam ditempat.,Karir yang bergerak mengikuti arus yang seharusnya.,0,"{
  ""answer"": 1
} 

The metaphor ""Seperti air menenang, karirku sekarang"" can be interpreted as ""Karir yang bergerak mengikuti arus yang seharusnya"" because just like calm water flowing smoothly, a career that is currently following the right path and progressing smoothly. Option 1 reflects this meaning better than option 0.",1,,0
"Walau masih mahasiswa, tapi hari-harinya macam karyawan kena phk.",Hari-harinya sibuk.,Hari-harinya tidak sibuk.,1,"{
  ""Answer"": 0
}

Explanation: The metaphor is comparing the student's daily routine to that of an employee who has just been laid off (PHK). In this context, being ""like an employee who has just been laid off"" implies that the student's days are busy and structured like that of a busy employee. Therefore, the closest meaning is option 0) Hari-harinya sibuk.",0,,0
"Setiap lelaki itu bersuara, ucapannya bagaikan buaya darat.",Ucapannya penuh gombalan.,Ucapannya penuh nasihat.,0,"{
  ""answer"": 1
}

Explanation: The metaphor compares the man's words to a land crocodile, which typically represents someone who gives harsh or critical statements rather than sweet talk or compliments. Therefore, the closest meaning is that his words are full of advice or criticism.",1,,0
"Seberat kapas, begitulah beban hidup Dani.",Bebah hidup Dani ringan.,Bebah hidup Dani berat.,0,"{
  ""answer"": 1
}

Explanation: The metaphor ""Seberat kapas, begitulah beban hidup Dani"" implies that Dani's life is heavy, similar to how heavy cotton can be. Therefore, the closest meaning to the metaphor is ""Bebah hidup Dani berat"" which translates to ""Dani's life burden is heavy"". Hence, the correct option is 1) Bebah hidup Dani berat.",1,,0
Nasihat ibu terkadang semanis jamu.,Nasihat ibu terkadang enak didengar.,Nasihat ibu terkadang tidak enak didengar.,1,"{
""answer"": 0,
""explanation"": ""The metaphor compares a mother's advice to a sweet herbal drink. This implies that a mother's advice is sometimes pleasant to listen to or easy to digest, similar to how a herbal drink like jamu can be sweet and enjoyable. Therefore, the closest meaning is option 0) Nasihat ibu terkadang enak didengar.""
}",0,,0
Buku koleksi adikku sebanyak bunga di musim gugur.,Bukunya banyak sekali.,Bukunya nyaris tidak ada.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor is comparing the collection of books to the abundance of flowers in autumn. Since autumn is known for having a lot of fallen leaves and flowers, it implies that the sibling has a lot of books in their collection. Hence, the option ""Bukunya banyak sekali"" is the closest meaning to the metaphor.",0,,0
Sinta dan Mayang itu bagai pinang dibelah dua.,Sinta dan Mayang sangat mirip.,Sinta dan Mayang sangat berbeda.,0,"{
  ""answer"": 1
} 

Explanation: The metaphor ""Sinta dan Mayang itu bagai pinang dibelah dua"" compares Sinta and Mayang to a betel nut that has been split into two. This implies that Sinta and Mayang are very different from each other, just like how a betel nut is split into two separate parts. Therefore, the closest meaning to the metaphor is option 1) Sinta dan Mayang sangat berbeda.",1,,0
Aku seperti umbi-umbian di mata atasan.,Aku tidak berharga bagi atasan.,Aku berharga bagi atasan.,0,"{
  ""answer"": 1
} 

Explanation: In this metaphor, comparing oneself to a tuber (umbi-umbian) emphasizes the idea of being an essential or valuable part of something. Therefore, the closest meaning to the metaphor is ""Aku berharga bagi atasan"" (I am valuable to my superior).",1,,0
Guru memberikan materi seolah masih ada hari esok.,Guru memberi materi sebanyak-banyaknya.,Guru memberi materi secukupnya.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Guru memberikan materi seolah masih ada hari esok"" implies that the Guru is giving the material as if there is no limit or shortage of it, similar to giving as much as possible, hence option 0 is the closest meaning to the metaphor.",0,,0
Hari ini cuacanya seperti berada di di puncak gunung Bromo.,Cuaca hari ini sangat panas.,Cuaca hari ini sangat dingin.,1,"{
  ""answer"": 0
} 

The metaphor ""Hari ini cuacanya seperti berada di puncak gunung Bromo"" implies that the weather today is similar to being at the peak of Mount Bromo. Mount Bromo is known for its cold and misty weather, so the correct option would be ""Cuaca hari ini sangat dingin."" This means that the weather today is very cold.",0,,0
Youtuber itu makan nasi padang seolah perutnya sudah penuh.,Youtuber itu makan nasi padang dengan porsi sedikit.,Youtuber itu makan nasi padang dengan porsi sangat banyak.,0,"{
  ""explanation"": ""The metaphor compares the youtuber eating nasi padang as if their stomach is already full, implying that they are consuming a large amount of food."",
  ""answer"": 1
}",1,,0
"Ketika Geisha menyanyi, dia seolah menghantui semua penonton.",Nyanyian Geisha memukau bagi penonton.,Nyanyian Geisha menjijikkan bagi penonton.,1,"{
  ""answer"": 0
}

Explanation: The metaphor compares the singing of Geisha to haunting all the viewers. In this context, haunting implies that the singing captivates or mesmerizes the audience. Option 0) Nyanyian Geisha memukau bagi penonton (Geisha's singing captivates the audience) is the closest meaning to the metaphor.",0,,0
Indonesia memiliki banyak destinasi wisata yang sudah terjamah.,Banyak destinasi wisata di Indonesia yang masih alami.,Banyak destinasi wisata di Indonesia yang sudah terekspos.,1,"{
  ""Explanation"": ""The metaphor refers to Indonesia having many untouched natural tourist destinations."",
  ""Answer"": 0
}",0,,0
Peran perempuan dalam adat Jawa bagaikan cat putih yang dipulaskan di atas tembok yang sudah berwarna putih.,Peran perempuan dalam adat Jawa sangat tidak punya pengaruh.,Peran perempuan dalam adat Jawa sangat berpengaruh.,0,"{
  ""explanation"": ""Dalam metafora ini, cat putih yang dipulaskan di atas tembok yang sudah berwarna putih mencerminkan peran perempuan yang sangat berpengaruh dalam adat Jawa, meskipun mungkin terlihat seperti tidak punya pengaruh secara langsung."",
  ""answer"": 1
}",1,,0
Beras miskin adalah simbol kemakmuran yang menyengkan bagi sebagian besar warga Indonesia.,Beras miskin adalah simbol kekayaan bagi sebagian besar warga Indonesia.,Beras miskin adalah simbol kemiskinan bagi sebagian besar warga Indonesia.,0,"{
  ""Explanation"": ""The metaphor suggests that poor-quality rice represents poverty for most Indonesians."",
  ""Answer"": 1
}",1,,0
Minum kopi saat senja itu seperti Adam dan Hawa yang diusir Tuhan dari surga.,Minum kopi saat senja itu rasanya melegakan.,Minum kopi saat senja itu rasanya membawa penyesalan.,1,"{
  ""answer"": 0
}

Explanation: The metaphor comparing drinking coffee at sunset to Adam and Eve being expelled from paradise suggests a feeling of relief or comfort, similar to the feeling of sipping a warm beverage in the calming evening atmosphere. Option 0) ""Minum kopi saat senja itu rasanya melegakan."" aligns with this interpretation.",0,,0
Sepak bola bagi masyarakat Indonesia bagaikan robot gundam yang bebas untuk dimainkan dan disukai siapa saja.,Sepak bola adalah hal yang serius bagi masyarakat Indonesia.,Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.,1,"{
  ""answer"": 0
} 

The metaphor is comparing soccer to a robot gundam that is free to be played and loved by anyone. This implies that soccer is something exciting, enjoyable, and beloved by the Indonesian people. Option 0) ""Sepak bola adalah hal yang serius bagi masyarakat Indonesia."" best reflects this interpretation, as it suggests that soccer holds a significant and important place in the hearts of Indonesians.",0,,0
Bola yang ditendang Bambang Pamungkas itu melesat bagai lemparan sehelai bulu ayam ke udara.,Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat cepat.,Bola yang ditendang oleh Bambang Pamungkas melesat dengan sangat lemah.,1,"{
  ""answer"": 0
}

The metaphor compares the speed and lightness of the ball kicked by Bambang Pamungkas to a feather floating in the air. Since feathers are known to be extremely light and delicate, the most appropriate meaning would be that the ball kicked by him is moving very quickly, similar to a feather being thrown up in the air. Therefore, option 0 is the correct answer.",0,,0
Tema baju lebaran keluargaku di tahun ini adalah warna hijau seperti lumut yang tumbuh di permukaan lembab.,Warna baju lebaran keluargaku di tahun ini adalah hijau muda.,Warna baju lebaran keluargaku di tahun ini adalah hijau tua.,1,"{
  ""answer"": 0
} 

Explanation: In this metaphor, the color green like moss growing on a damp surface is used to describe the color of the family's Eid outfit. Moss is typically a lighter shade of green, so the closest meaning would be option 0) Warna baju lebaran keluargaku di tahun ini adalah hijau muda (light green).",0,,0
Kata-katanya saat mewawancarai narasumber seperti gunting kuku.,Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.,Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.,1,"{
  ""answer"": 0
} 

The metaphor ""gunting kuku"" refers to something sharp and potentially uncomfortable, which closely aligns with option 0) Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber. This option implies that the interviewer's words are sharp and cutting, causing unease for the interviewee.",0,,0
Kepercayaan itu ibarat gelas plastik.,Kepercayaan itu jangan dirusak karena kalau sudah pecah tidak dapat disusun kembali.,"Kepercayaan itu sekalipun berkali-kali dibanting, dia tidak akan rusak.",1,"{
  ""Explanation"": ""The metaphor compares trust to a plastic cup, implying that once trust is broken, it cannot be easily repaired."",
  ""Answer"": 0
}",0,,0
Siang hari minum es cendol dawet ibarat air yang baru mendidih dari panci.,Minum es cendol dawet di siang hari itu sangat menyegarkan.,Minum es cendol dawet di siang hari itu sangat membuat panas dalam organ.,1,"{
  ""answer"": 0
}

Explanation: The metaphor compares drinking es cendol dawet in the afternoon to drinking hot water freshly boiled from a pot, indicating that it is very refreshing and rejuvenating. Option 0) reflects this meaning by stating that drinking es cendol dawet in the afternoon is very refreshing.",0,,0
Malam ini cuacanya bagaikan berdiam di dalam kelas sekolah negeri yang minim ventilasi dan fasilitas seperti kipas angin.,Malam ini cuaca begitu dingin.,Malam ini cuaca begitu panas.,1,"{
  ""answer"": 0
} 

The metaphor describes the weather at night to be similar to being inside a poorly ventilated public school classroom with no cooling fan, which implies that it is very cold. Therefore, the option ""0) Malam ini cuaca begitu dingin."" is the closest meaning to the metaphor.",0,,0
Sopan santun itu ibarat keset bagi orang Jawa. .,Sopan santun itu wajib dikenakan agar kehormatan terjaga bagi orang Jawa.,Sopan santun itu boleh diabaikan bagi orang Jawa.,1,"{
  ""answer"": 0
}

Explanation: The metaphor is comparing good manners and politeness to a doormat, suggesting that it is necessary to maintain honor and respect for the Javanese culture. Option 0) reflects the idea that good manners should be upheld to preserve the dignity and values of the Javanese people.",0,,0
Bekerjalah seakan alam dan seisinya masih bisa memenuhi kebutuhanmu.,Bekerjalah dengan keras.,Bekerjalah dengan biasa-biasa saja.,1,"{
  ""answer"": 0
}

In this metaphor, ""Bekerjalah seakan alam dan seisinya masih bisa memenuhi kebutuhanmu,"" the comparison is made between working as if nature and its contents can still fulfill your needs. This suggests working diligently and responsibly, similar to how nature provides for us abundantly. Therefore, the closest meaning is option 0) Bekerjalah dengan keras (Work hard).",0,,0
"Selepas acara aqiqah, kepala keponakan bayiku ini menjadi seperti buah rambutan yang masih muda.","Setelah acara aqiqah, kepala keponakanku jadi plontos.","Setelah acara aqiqah, kepala keponakanku jadi jabrik.",1,"{
  ""answer"": 0
} 

Explanation: In this metaphor, the comparison is made between the head of the nephew and a young rambutan fruit. Rambutan fruit is known for its spiky appearance when young, similar to a newly shaved or bald head. Therefore, the option ""Setelah acara aqiqah, kepala keponakanku jadi plontos."" (After the aqiqah event, my nephew's head became bald.) is the closest meaning to the metaphor.",0,,0
"Makanan khas Sunda, yaitu seblak kian naik daun karena rasanya yang ibarat pahit-pahit sambilata.","Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat ketagihan.","Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat kapok.",1,"{
  ""answer"": 0,
  ""explanation"": ""Seblak, makanan khas Sunda, semakin terkenal karena cita rasanya yang membuat ketagihan. Ini karena seblak diibaratkan seperti pahit-pahit sambilata, yang membuat orang ingin mencicipi lagi dan lagi.""
}",0,,0
Kebakaran hutan kemarin sore bagai nyala lampu minyak yang sumbunya hampir habis terbakar.,Kebakaran hutan kemarin sore terjadi dengan sangat berkobar-kobar.,Kebakaran hutan kemarin sore terjadi dengan sangat redup.,1,"{
  ""explanation"": ""The metaphor compares the forest fire to the light of an oil lamp that is almost extinguished, implying that the forest fire was almost completely out of control and consumed everything in its path."",
  ""answer"": 0
}",0,,0
"Bagi orang zaman dahulu, bersekolah itu ibarat juragan kontrakan 20 pintu yang tinggal ongkang-ongkang kaki menunggu uang sewa.","Bagi orang zaman dahulu, bersekolah itu penuh perjuangan.","Bagi orang zaman dahulu, bersekolah itu bersantai-santai saja.",1,"{
  ""answer"": 0,
  ""explanation"": ""In this metaphor, going to school is compared to being a landlord of a building with 20 rental units, which implies that there are many difficulties and challenges involved. Therefore, the meaning closest to the metaphor is 'Bersekolah itu penuh perjuangan.'""
}",0,,0
Program pemerintah Bantuan Langsung Tunai itu ibarat memberi ikan kepada rakyat.,Program Bantuan Langsung Tunai dari pemerintah ini dianggap percuma.,Program Bantuan Langsung Tunai dari pemerintah ini dianggap berguna.,0,"{
  ""answer"": 1
}

In this metaphor, ""Program pemerintah Bantuan Langsung Tunai itu ibarat memberi ikan kepada rakyat"" translates to ""The government's Direct Cash Assistance Program is like giving fish to the people."" Giving fish to the people is typically seen as helpful and beneficial, indicating that the intended meaning is Option 1: Program Bantuan Langsung Tunai dari pemerintah ini dianggap berguna (The government's Direct Cash Assistance Program is considered useful).",1,,0
Perpisahan adalah tegukan air dingin di siang hari yang kerontang.,Perpisahan adalah hal yang menyakitkan.,Perpisahan adalah hal yang menyenangkan.,1,"{
  ""explanation"": ""Perpisahan diibaratkan seperti tegukan air dingin di siang hari yang kerontang, yang lebih menggambarkan rasa sakit atau kesedihan ketika harus berpisah."",
  ""answer"": 0
}",0,,0
Rezeki setelah menikah itu bagaikan musim paceklik dan kemarau yang melanda desa.,Rezeki setelah menikah itu melimpah.,Rezeki setelah menikah itu berkekurangan.,1,"{
  ""answer"": 0
} 

This metaphor compares the abundance of blessings after marriage to the end of a drought, implying that there will be an overflow of blessings and sustenance. Therefore, the meaning closest to the metaphor is ""Rezeki setelah menikah itu melimpah"" (Blessings after marriage are abundant).",0,,0
Kriteria tulisan yang diterima di koran nasional itu bagaikan menemukan air di lautan.,Kriteria tulisan untuk bisa diterima koran nasional itu sangat sulit.,Kriteria tulisan untuk bisa diterima koran nasional itu sangat mudah.,1,"{
  ""answer"": 0
} 

The metaphor ""Kriteria tulisan yang diterima di koran nasional itu bagaikan menemukan air di lautan"" compares the criteria for acceptance in a national newspaper to finding water in the ocean, suggesting that it is very difficult to meet the criteria. Therefore, option 0) ""Kriteria tulisan untuk bisa diterima koran nasional itu sangat sulit"" is the closest meaning to the metaphor.",0,,0
"Perempuan menjawab dengan presisi ketika ditanya ""mau makan apa"" itu bagaikan menunggu hujan emas.","Perempuan menjawab dengan presisi ketika ditanya ""mau makan apa"" itu sangatlah mustahil.","Perempuan menjawab dengan presisi ketika ditanya ""mau makan apa"" itu sangatlah mungkin.",0,"{
  ""Explanation"": ""Hujan emas merupakan hal yang sangat langka dan istimewa, sehingga perempuan yang menjawab dengan presisi ketika ditanya 'mau makan apa' juga dianggap istimewa dan langka."",
  ""Answer"": 1
}",1,,0
Melahirkan itu ibarat bersin sampai keluar ingus.,Melahirkan itu sangat sakit.,Melahirkan itu biasa saja.,1,"{
  ""answer"": 0
}

Explanation: The metaphor compares giving birth to sneezing until the mucus comes out, which implies that giving birth is very painful. Therefore, the option ""Melahirkan itu sangat sakit."" is the most fitting interpretation of the metaphor.",0,,0
Cita-cita itu bagaikan asap yang dibiarkan hilang dengan sendirinya.,Cita-cita itu harus dirawat.,Cita-cita itu dibiarkan begitu saja.,1,"{
  ""Explanation"": ""The metaphor implies that dreams should not be left to disappear on their own, but rather cared for and nurtured in order to be achieved."",
  ""Answer"": 0
}",0,,0
Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit bagaikan membalikkan telapak tangan.,Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dipersulit.,Sakit bagi si miskin yang berobat menggunakan BPJS di rumah sakit itu dimudahkan.,1,"{
  ""Explanation"": ""The metaphor is emphasizing how difficult it is for the poor person to receive medical treatment using BPJS at the hospital, comparing it to an impossible or seemingly contradicting action like turning the back of one's hand."",
  ""Answer"": 0
}",0,,0
