Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
si Udin jadi jalma teh meni berehan.,"si Udin jadi jalma teh meni koret, pedit",si Udin jadi jalma teh meni reseup babagi.,1,"{
  ""explanation"": ""The metaphor is comparing Udin to a tree that grows tall. 'Meni berehan' means growing taller and reaching higher heights, similar to a tree growing tall. 'Meni koret, pedit' does not convey the same idea."",
  ""answer"": 0
}",0,,0
sasa teh biasana sok jadi amis budi,sasa teh biasana ramah,sasa teh biasana judes.,0,"{
  ""explanation"": ""The metaphor is comparing someone to being bitter or unpleasant, which is closer in meaning to 'sasa teh biasana judes' (sasa is usually mean), because judes means unpleasant or unfriendly."",
  ""answer"": 1
}",1,,0
sasa teh biasana sok jadi haseum budi.,sasa teh biasana ramah,sasa teh biasana judes.,1,"{
  ""answer"": 0
}

Explanation: The metaphor is comparing the person to a haseum budi, which implies that the person is typically friendly. Therefore, the option ""sasa teh biasana ramah"" is the closest meaning.",0,,0
lamun bade nginjem duit kudu make duit tiis.,lamun bade nginjem duit kudu make duit anu teu menang dipake biasana lain anu pribadi,lamun bade nginjem duit kudu make duit anu pribadi moal waka dipake.,1,"{
  ""answer"": 0
}

The metaphor ""lamun bade nginjem duit kudu make duit tiis"" is closest to option 0 because it implies that if you want to borrow money, you should use your own hard-earned money and not rely on money that is usually meant for other purposes or for personal use.",0,,0
jalma ayeuna teh sok gurat batu.,jalma ayeuna teh sok babari ngarobah omongan atawa janji,jalma ayeuna teh sok pageuh kana omongan atawa janji.,1,"{
  ""Explanation"": ""The metaphor compares someone to a stone, implying that they are stubborn and difficult to change."",
  ""Answer"": 0
}",0,,0
lamun bisnis mah pasti jadi kandel dompet,lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,0,"{
  ""answer"": 1
} 

Explanation: In the metaphor ""lamun bisnis mah pasti jadi kandel dompet"", the comparison is between business and a leaky wallet. This implies that in business, one may not make a profit or may lose money easily, similar to how a leaky wallet loses money. Option 1) ""lamun bisnis mah pasti jadi kacida teu boga duit"" translates to ""if business, then no money"", which aligns closely with the metaphor of not making a profit in business.",1,,0
lamun bisnis mah pasti jadi kokoro nyoso.,lamun bisnis mah pasti jadi loba duit,lamun bisnis mah pasti jadi kacida teu boga duit.,1,"{
  ""answer"": 0
} 

This metaphor is comparing business to a heartache. Option 0) ""lamun bisnis mah pasti jadi loba duit"" means ""if business is successful, there will be a lot of money"", which implies that in business, there can be financial gain but also emotional pain. Option 1) ""lamun bisnis mah pasti jadi kacida teu boga duit"" means ""if business is successful, there will not be any money"", which does not fit the metaphor of comparing business to heartache.",0,,0
nanaon ge teu menang kaleleuwihan bisi tamplok bacoteun,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean,nanaon ge teu menang kaleleuwihan bisi loba teuing mun merean nepi ka poho ka diri sorangan.,0,"{
  ""answer"": 1
}

This metaphor seems to be referring to a situation where the individual is faced with a difficult choice or decision that requires careful consideration. The options presented highlight the idea of weighing the pros and cons before making a choice, which aligns with the metaphor in the startphrase. Therefore, option 1 is the closest meaning to the metaphor.",1,,0
jadi jelema teh kadang bisa jadi yuni kembang,jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,0,"{
  ""explanation"": ""The metaphor is comparing a person to a flower, suggesting that a person can sometimes be beautiful like a flower. Therefore, the closest meaning would be 'pikasebeleun' which means beautiful."",
  ""answer"": 1
}",1,,0
jadi jelema teh kadang bisa jadi yuni tai.,jadi jelema teh kadang bisa jadi pikareseupeun,jadi jelema teh kadang bisa jadi pikasebeleun.,1,"{
  ""Explanation"": ""The metaphor is comparing people to certain types of food or dish. Since the word 'yuni tai' typically refers to something spicy or flavorful, the closest meaning to this metaphor would be 'pikareseupeun' which means tasty or delicious."",
  ""Answer"": 0
}",0,,0
"jelema teh kabagi jadi dua, nyaeta anu sulit ati.","jelema teh kabagi jadi dua, nyaeta anu bersih hate","jelema teh kabagi jadi dua, nyaeta anu goreng hate iri, dengki.",1,"{
  ""explanation"": ""The metaphor is comparing a person who has a divided heart, meaning that they are experiencing inner conflict or difficulty in making a decision."",
  ""answer"": 0
}",0,,0
si Bina mah anak sampeuran.,si Bina mah anak anu dipikanyaah,si Bina mah anak tere.,1,"{
  ""answer"": 0
}

This metaphor is closer in meaning to option 0) ""si Bina mah anak anu dipikanyaah"". The phrase ""si Bina mah anak sampeuran"" conveys the idea of how close Bina is to her child and how much she cares for her child, which is similar to how someone thinks about their own child. The second option, ""si Bina mah anak tere,"" does not capture the same sense of emotional connection and care.",0,,0
budak teh kudu asak warah,budak teh kudu alus didikana,budak teh kudu kurang didikan.,0,"{
  ""answer"": 1
} 

The metaphor ""budak teh kudu asak warah"" can be interpreted as meaning that the child needs more discipline or guidance, which aligns more closely with the option 1) ""budak teh kudu kurang didikan.""",1,,0
budak teh kudu atah adol.,budak teh kudu alus didikana,budak teh kudu kurang didikan.,1,"{
  ""answer"": 0
}

Explanation: In this metaphor, ""budak teh kudu atah adol"" is most likely referring to the child needing proper grooming or upbringing (alus didikana), rather than lacking discipline (kurang didikan). Grooming implies guidance and care, which is closer to the metaphor.",0,,0
tong jadi budak anu bodo katotoloyo,tong jadi budak anu bodo tapi tara daek nanya,tong jadi budak anu bodo tapi daek tatanya.,0,"{
  ""explanation"": ""The metaphor is implying being a slave to something or someone foolish without questioning it. Option 1 reflects this meaning as it mentions not questioning it."",
  ""answer"": 1
}",1,,0
ari jadi salaki teh kudu badag cagap.,ari jadi salaki teh kudu digawe popohoan,ari jadi salaki teh kudu teu bisa digawe.,1,"{
  ""Question"": ""ari jadi salaki teh kudu badag cagap."",
  ""Option_0"": ""ari jadi salaki teh kudu digawe popohoan"",
  ""Option_1"": ""ari jadi salaki teh kudu teu bisa digawe."",
  ""Explanation"": ""This metaphor implies that in order to be a successful man, one must be diligent and skilled. Option 0 closely reflects this meaning as 'digawe popohoan' translates to 'must be made diligent'."",
  ""Answer"": 0
}",0,,0
si Dewi mah jadi gadis teh meni gede hulu.,si Dewi mah jadi gadis teh meni teu sombong,si Dewi mah jadi gadis teh meni sombong.,1,"{
  ""Explanation"": ""The metaphor is comparing Dewi to a tea leaf that remains humble despite growing at the top of the plant, which usually represents a higher position or status. The closest meaning would be that Dewi remains humble even though she may have achieved success or a higher status."",
  ""Answer"": 0
}",0,,0
ceunah lamun jadi awewe teh kudu siga mak lampir.,ceunah lamun jadi awewe teh kudu anggun,ceunah lamun jadi awewe teh kudu buruk rupa.,1,"{
  ""answer"": 0
} 

Explanation: In this metaphor, ""ceunah lamun jadi awewe teh kudu siga mak lampir"" means ""if a woman is ugly."" The closest meaning to this metaphor is ""ceunah lamun jadi awewe teh kudu anggun"" which means ""if a woman is beautiful."" So, the correct option is 0) ceunah lamun jadi awewe teh kudu anggun.",0,,0
"si eta mah kuatannya, teu siga lempeuh yuni","si eta mah kuatannya, teu gampang geuring","si eta mah kuatannya, teu sehat.",0,"{
  ""Explanation"": ""The metaphor is talking about someone who may appear strong but isn't healthy. 'Kuatannya' means strength, so it refers to physical strength."",
  ""Answer"": 1
}",1,,0
"si eta mah kuatannya, teu siga jagjag waringkas.","si eta mah kuatannya, teu gampang geuring","si eta mah kuatannya, teu sehat.",1,"{
  ""answer"": 0
}

Explanation: The metaphor is comparing someone's strength to their ability to endure challenges. Option 0) ""si eta mah kuatannya, teu gampang geuring"" translates to ""if they are strong, they are not easily shaken"", which fits the metaphor. Option 1) ""si eta mah kuatannya, teu sehat"" translates to ""if they are strong, they are not healthy"", which does not make sense in the context of the metaphor.",0,,0
Kadang hirup teh bisa jadi kembang seungit,Kadang hirup teh bisa jadi katingali senang,Kadang hirup teh bisa jadi teu bahagia.,0,"{
  ""answer"": 1
}

Explanation: The metaphor ""Kadang hirup teh bisa jadi kembang seungit"" translates to ""Sometimes drinking tea can be like smelling a withered flower."" This implies that sometimes the act of drinking tea may not bring pleasure or happiness. Option 1) ""Kadang hirup teh bisa jadi teu bahagia"" is the closest in meaning, as it conveys the idea that sometimes drinking tea may not bring happiness.",1,,0
Jalma teh bisa jadi cai,Jalma teh bisa jadi nu tenang,Jalma teh bisa jadi nu riweuh.,0,"{
  ""answer"": 1
}

Explanation: The phrase ""Jalma teh bisa jadi cai"" is a metaphor that can be interpreted as either ""a person can be calm"" or ""a person can be busy"". In this context, ""cai"" often refers to being busy or occupied with various activities. So, the closest meaning to the metaphor would be option 1) ""Jalma teh bisa jadi nu riweuh"" meaning ""a person can be busy"".",1,,0
Jadi budak ulah hade basa.,Jadi budak ulah teu sopan,Jadi budak ulah sopan.,1,"{
  ""answer"": 0
} 

Explanation: The phrase ""Jadi budak ulah hade basa"" means ""being a slave to bad behavior"". The option ""Jadi budak ulah teu sopan"" directly translates to ""being a slave to not being polite"", which is the closest meaning to the metaphor.",0,,0
ai ka batur teh ulah sok ngukur baju jeung kaen-kaenna.,ai ka batur teh ulah sok ningali ti luarna hungkul,ai ka batur teh ulah sok leuwi jero.,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""ai ka batur teh ulah sok ngukur baju jeung kaen-kaenna"" is closest in meaning to option 0) ai ka batur teh ulah sok ningali ti luarna hungkul, which implies that one should not judge others based on their appearance. ""Ningali ti luarna hungkul"" translates to looking from the outside only, which signifies the act of judging superficially. On the other hand, option 1) ai ka batur teh ulah sok leuwi jero means that one should not always stay inside, which does not align as closely with the metaphor.",0,,0
"lamun aya masalah, hidup teh karasa keur jalan tol.","lamun aya masalah, hidup teh karasa keurteu lancar","lamun aya masalah, hidup teh karasa keur mulus.",1,"{
  ""answer"": 0
} 

The metaphor compares life to a toll road, suggesting that there are obstacles or challenges (masalah) that make life feel like it is not flowing smoothly. Option 0) ""lamun aya masalah, hidup teh karasa keurteu lancar"" is the closest meaning as it reflects the idea of life not being smooth or flowing well due to problems.",0,,0
jadi gadis balik teh tong pas datang bulan.,jadi gadis balik teh tong pas datang isuk,jadi gadis balik teh tong pas datang peuting.,1,"{
  ""Explanation"": ""The metaphor is comparing the return of a girl from having tea to the cycle of menstruation. The term 'datang bulan' is a common Indonesian euphemism for menstruation."",
  ""Answer"": 0
}",0,,0
Lamun gawe teh kuduna mah bisa paaing-aing.,Lamun gawe teh kuduna bisa kompak,Lamun gawe teh kuduna bisa masing-masing.,1,"{
  ""Explanation"": ""The metaphor compares the behavior of a group when working together. 'Lamun gawe teh kuduna mah bisa paaing-aing' suggests that when working together, the group is able to move, act, or progress smoothly and harmoniously."",
  ""Answer"": 0
}",0,,0
Nuju liburan teh kedah bari kaduhung.,Nuju liburan teh kedah bari gumbira,Nuju liburan teh kedah bari nyesel.,1,"{
  ""answer"": 0
} 

The metaphor ""Nuju liburan teh kedah bari kaduhung"" can be interpreted as ""Nuju liburan teh kedah bari gumbira"" which means ""Going on a vacation should bring happiness."" The word ""kaduhung"" is likely meant to convey the feeling of joy or excitement associated with going on a holiday, which aligns more closely with the option 0) Nuju liburan teh kedah bari gumbira.",0,,0
Sangkan hirup teh loba kaamis kudu bisa ngarumasakeun.,Sangkan hirup teh loba cobaan,Sangkan hirup teh loba kabahagiaan kudu bisa ngarumasakeun.,1,"{
  ""answer"": 0
}

The metaphor ""Sangkan hirup teh loba kaamis kudu bisa ngarumasakeun"" is comparing life to a series of challenges (cobaan). Just like how tea needs to be brewed properly to bring out its flavor, life needs to be faced and overcome in order to reach its full potential. Option 0) Sangkan hirup teh loba cobaan is the closest meaning to the metaphor.",0,,0
Ngomong jeung si eta mah nya meuni kawas sireum,Ngomong jeung si eta mah nya meuni lalaunan,Ngomong jeung si eta mah nya meuni jojorowokan.,0,"{
  ""Explanation"": ""The metaphor implies that speaking with that person is difficult because they don't understand, similar to trying to catch a fish with your bare hands."",
  ""Answer"": 1
}",1,,0
Kadang jelema teh bisa ipis kulit bengeut.,Kadang jelema teh bisa teu boga kaera,Kadang jelema teh bisa eraan.,1,"{
""Explanation"": ""The metaphor is comparing someone to a snake with a tough skin, implying that they are difficult or stubborn."",
""Answer"": 0
}",0,,0
ayeuna buuk na teh tos jadi harideung.,Ayeuna mah tos jadi kolot,Ayeuna mah tos jadi ngora keneh.,1,"{
  ""Explanation"": ""The metaphor implies that the present book will eventually become old."",
  ""Answer"": 0
}",0,,0
Jadi jelema mah ulah sulit ati,Jadi jelema mah ulah iri,Jadi jelema mah ulah bageur.,0,"{
  ""answer"": 1
}

Explanation: The metaphor ""Jadi jelema mah ulah sulit ati"" is comparing someone who is difficult to please to the feeling of being picky or hard to satisfy. Therefore, the closest meaning would be ""Jadi jelema mah ulah bageur"" which means someone who is not easy to please.",1,,0
Jadi jelema mah ulah hade hate.,Jadi jelema mah ulah iri,Jadi jelema mah ulah bageur.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""Jadi jelema mah ulah hade hate"" signifies not being envious or jealous of others. Option 0) ""Jadi jelema mah ulah iri"" means not being envious, which aligns with the metaphor. Option 1) ""Jadi jelema mah ulah bageur"" means not being excessive, which does not relate to the metaphor.",0,,0
Ayeuna mah ka Bandung teh meuni siga mapay jalan satapak.,Ayeuna mah ka Bandung teh meuni deket,Ayeuna mah ka Bandung teh meuni jauh.,1,"{
	""explanation"": ""Bandung is close in this context, therefore 'Ayeuna mah ka Bandung teh meuni deket' is the closest meaning to the metaphor."",
	""answer"": 0
}",0,,0
Maneh mah jadi jelema teh meuni beteung karet,Maneh mah jadi jelema teh meuni loba dahar,Maneh mah jadi jelema teh meuni tara barang dahar.,0,"{
  ""answer"": 1
} 

The metaphor ""Maneh mah jadi jelema teh meuni beteung karet"" is comparing someone who is resilient like rubber. In this context, ""beteung karet"" refers to being flexible and adaptable in difficult situations. Option 1, ""Maneh mah jadi jelema teh meuni tara barang dahar,"" is the closest meaning as it also refers to someone who is not easily broken or swayed.",1,,0
Maneh mah jadi jelema teh meuni beuteng heras.,Maneh mah jadi jelema teh meuni loba dahar,Maneh mah jadi jelema teh meuni tara barang dahar.,1,"{
  ""answer"": 0
} 

In this metaphor, ""Maneh mah jadi jelema teh meuni beuteng heras."" the comparison is being made between being physically full (dahar) and having a good character/attitude (beuteng heras). Option 0) ""Maneh mah jadi jelema teh meuni loba dahar"" which means ""becoming a good person is more important than being physically full"" is the closest meaning to the metaphor. It emphasizes the importance of having a positive character over physical possessions or needs.",0,,0
Lalakonna siga bangkong dikurung batok,Lalakonna keueungeun,Lalakonna liar.,0,"{
  ""answer"": 1
} 

The metaphor ""Lalakonna siga bangkong dikurung batok"" can be interpreted as ""Lalakonna keueungeun"" which means constrained or restricted. This implies that the person feels trapped or confined in a certain situation, similar to being enclosed by a coconut shell. Option 1) Lalakonna liar, on the other hand, means that the person is wild or uncontrollable, which doesn't align with the metaphor.",1,,0
Lalakonna siga manuk dikencarkeun.,Lalakonna keueungeun,Lalakonna liar.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""Lalakonna siga manuk dikencarkeun"" can be interpreted as meaning ""his rooster is being looked for."" The option ""Lalakonna keueungeun"" means ""his rooster is at his house,"" which is closer in meaning to the metaphor compared to ""Lalakonna liar,"" which means ""his rooster is wild.""",0,,0
Balong laukna siga mencrang cai herang,Balong laukna beresih,Balong laukna ledig.,0,"{
  ""answer"": 1
}

The metaphor ""Balong laukna siga mencrang cai herang"" implies that the situation is messy or disorganized, similar to the meaning of ""ledig"" which means empty or clear. Therefore, the closest meaning to the metaphor is Option 1) Balong laukna ledig.",1,,0
Balong laukna siga buyatak solokan.,Balong laukna beresih,Balong laukna ledig.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""Balong laukna siga buyatak solokan"" relates to the meaning of something being cleaned up or tidied, which closely aligns with the option ""Balong laukna beresih."" The word ""sigar"" in Minangkabau language can refer to cleaning or tidying up, thus making option 0 the most fitting interpretation.",0,,0
Rupina siga kembang beukah,Rupina sae,Rupina awon.,0,"{
  ""answer"": 1
}

Explanation: In this metaphor, ""Rupina siga kembang beukah"" is likely referring to comparing Rupina to a blooming flower. The option ""Rupina awon"" would be a closer meaning as it refers to Rupina being beautiful or radiant like a flower, while ""Rupina sae"" does not capture this comparison.",1,,0
Neangan si eta kawas neang jarum di sawah,Neangan si eta hese,Neangan si eta gampil.,0,"{
  ""answer"": 1
}

In this metaphor, ""Neangan si eta kawas neang jarum di sawah"" means ""Looking at the moon among the rice stalks."" The closest meaning among the options is ""Neangan si eta gampil"", which means ""Admiring its beauty"". The moon is often associated with beauty and serenity, so the correct option reflects that sentiment.",1,,0
Sapopoe si eta kawas nu diudag ku rentenir,Sapopoe si eta seueur emutan,Sapopoe si eta euweuh pagawean.,0,"{
  ""answer"": 1
}  

In this metaphor, ""rentenir"" usually refers to something that is burdensome or difficult to deal with. Comparing it to ""pagawean"" (work), which can also be burdensome or difficult, makes more sense in this context. ""Emutan"" (tasty) does not fit well with the idea of something being burdensome.",1,,0
Sapopoe si eta kawas nu teu boga pamajikan.,Sapopoe si eta seueur emutan,Sapopoe si eta euweuh pagawean.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""Sapopoe si eta kawas nu teu boga pamajikan"" translates to ""You are like a bird without a nest."" Option 0) ""Sapopoe si eta seueur emutan"" meaning ""You are like a bird without direction"" is the closest in meaning to the metaphor. Both options highlight the feeling of being lost or without a stable place or purpose.",0,,0
Mun makan siga nu teu boga duit,Mun dahar loba,Mun dahar saeutik.,0,"{
  ""question"": ""Mun makan siga nu teu boga duit"",
  ""option0"": ""Mun dahar loba"",
  ""option1"": ""Mun dahar saeutik"",
  ""explanation"": ""The metaphor is comparing eating without money to either eating a lot or eating just a little. In this case, not having money represents scarcity, so the closest meaning would be eating just a little (Mun dahar saeutik) due to limited resources."",
  ""answer"": 1
}",1,,0
Mun makan siga loba duit.,Mun dahar loba,Mun dahar saeutik.,1,"{
    ""question"": ""Mun makan siga loba duit."",
    ""options"": {
        ""0"": ""Mun dahar loba"",
        ""1"": ""Mun dahar saeutik""
    },
    ""answer"": 0
} 

Explanation: The metaphor ""Mun makan siga loba duit"" can be interpreted as ""Mun dahar loba"" which means spending a lot of money. Eating money without actual consumption is a metaphor for spending money excessively. Hence, option 0 is the closest meaning to the metaphor.",0,,0
Nasehat ti bapa na nangceub siga batu,Nasihat apa na diemutan,Nasihat apa na poho.,0,"{
  ""answer"": 1
}

Explanation: The metaphor compares the father's advice to biting a hard rock, indicating that the advice is tough to accept or follow, similar to a hard rock. Option 1) Nasihat apa na poho, means advice that is hard to accept or follow, which closely aligns with the metaphor.",1,,0
Gawena siga nu keong meuntas jalan.,Gawe na gancang,Gawe na lila.,1,"{
  ""answer"": 0
}

The metaphor ""Gawena siga nu keong meuntas jalan"" can be interpreted as ""The work is fast"" (Option 0) since ""gancang"" means fast in Javanese. The word ""lila"" in Option 1 means late, which would not fit the metaphor.",0,,0
Sakapeung jodoh teh kawas meuli ucing dina karung,Sakapeung jodoh teh teu kantos ditebak,Sakapeung jodoh teh kantos ditebak.,0,"{
  ""answer"": 1
} 

Explanation: The metaphor ""Sakapeung jodoh teh kawas meuli ucing dina karung"" means that fate is unpredictable, similar to a cat in a bag that cannot be predicted easily. Option 1) ""Sakapeung jodoh teh kantos ditebak"" translates to fate can be predicted, which is the opposite of the metaphor. Option 0) ""Sakapeung jodoh teh teu kantos ditebak"" translates to fate cannot be predicted, which aligns with the metaphor. Hence, the correct option is 0) Sakapeung jodoh teh teu kantos ditebak.",1,,0
Acukna siga nimu di rongsokan.,Acuk na sae,Acuk na awon.,1,"{
  ""answer"": 0
} 

In this metaphor, ""Acukna siga nimu di rongsokan"" means ""the fire in your life"" which can be more closely associated with option 0) Acuk na sae (the fire is strong) rather than option 1) Acuk na awon (the fire is extinguished).",0,,0
Sapi na siga limosin,Sapi na ageung,Sapi na leutik.,0,"{
  ""question"": ""Sapi na siga limosin"",
  ""option_selected"": 1,
  ""explanation"": ""In this metaphor, 'Sapi na siga limosin' likely refers to a big buffalo (Sapi na ageung) instead of a small buffalo (Sapi na leutik). The comparison is between a big and powerful entity, not a small and insignificant one."",
  ""answer"": 1
}",1,,0
Sapi na siga nu cacingan.,Sapi na ageung,Sapi na leutik.,1,"{
  ""answer"": 0,
  ""explanation"": ""In this metaphor, 'sapi na siga' is most likely referring to a big or powerful cow, rather than a small or young cow ('Sapi na ageung' vs 'Sapi na leutik'). Therefore, the closest meaning to the metaphor is 'Sapi na ageung'."",
}",0,,0
Mung ngomong siga aya sambelna,Mung ngomong nyeurikeun hate,Mung ngomong hati-hati.,0,"{
  ""answer"": 1
}

Explanation: The phrase ""Mung ngomong siga aya sambelna"" can be interpreted as ""Mung ngomong hati-hati"" which means ""Speak carefully"" rather than ""Mung ngomong nyeurikeun hate"" which means ""Speak bravely"". The closest meaning to the metaphor is to be cautious in what you say.",1,,0
Mung ngomong siga putri solo.,Mung ngomong nyeurikeun hate,Mung ngomong hati-hati.,1,"{
  ""answer"": 0
}

Explanation: The phrase ""Mung ngomong siga putri solo"" is a metaphorical expression which means to speak carefully or to choose one's words wisely, similar to the option ""Mung ngomong hati-hati."" Therefore, the closest meaning to the metaphor is option 1) Mung ngomong nyeurikeun hate.",0,,0
Ditingal teh si eta siga nu can ibak,Ditingal teh si eta bau,Ditingal teh si eta wangi.,0,"{
  ""answer"": 1
} 

The metaphor is likely comparing digital technology to a tiger. Tigers are known for their agility and ability to move quickly, similar to how rapidly digital technology evolves and changes. Therefore, the closest meaning would be ""Ditingal teh si eta wangi"" which translates to ""Digital technology is like a tiger.""",1,,0
Ditingal teh si eta siga ibak kembang tujuh rupi.,Ditingal teh si eta bau,Ditingal teh si eta wangi.,1,"{
  ""answer"": 0
} 

In this metaphor, ""Ditingal teh si eta siga ibak kembang tujuh rupi"" compares something being neglected to the smell of rotten flowers. The closest meaning to this metaphor is option 0) Ditingal teh si eta bau (neglected like a bad smell).",0,,0
Lengeunna geutihan siga nu ditabrak mobil,Lengeunna geutihan loba,Lengeunna geutihan saeutik.,0,"{
  ""answer"": 1
}

Explanation: The metaphor compares ""Lengeunna geutihan siga nu ditabrak mobil"" to being hit by a car. In this context, ""saeutik"" refers to being suddenly and unexpectedly impacted or harmed, which aligns more closely with being hit by a car rather than simply having a lot of something.",1,,0
Si eta mung ceurik siga euweuh masalah.,Si eta mung ceurik tarik,Si eta mung ceurik lalaunan.,1,"{
  ""answer"": 0
}

Explanation: The metaphor compares the situation to having a tangled thread. Option 0) ""Si eta mung ceurik tarik"" means ""like a tangled thread,"" which is the closest meaning to the metaphor. Option 1) ""Si eta mung ceurik lalaunan"" means ""like a beautiful weave,"" which does not align with the metaphor.",0,,0
Mangga na siga cuka.,Mangga na amis,Mangga na haseum.,1,"{
  ""answer"": 0
}

Explanation: The metaphor ""Mangga na siga cuka"" translates to ""mango that is sour vinegar."" In this metaphor, the word ""siga"" is often used to describe something that is sour or pungent, which is more closely related to the meaning of option 0) Mangga na amis (mango that is sour) rather than option 1) Mangga na haseum (mango that is sweet).",0,,0
Rai na ka adi na teh siga cocoan,Kalakuan rai na ka adi jail,Kalakuan rai na ka adi nyaah.,0,"{
    ""answer"": 1
} 

In this metaphor, ""Rai na ka adi na teh siga cocoan"" implies a challenging situation where there seems to be no solution in sight, similar to option 1) Kalakuan rai na ka adi nyaah, which translates to ""The road ahead seems unclear."" This option closely relates to the metaphor provided.",1,,0
Rupi na siga arjuna,Rupi na kasep,Rupi na awon.,0,"{
  ""answer"": 1
} 

The phrase ""Rupi na siga arjuna"" is a metaphor comparing two things. In this case, it is comparing the brightness of the sun to something else. The closest meaning would be ""Rupi na awon"" as it means ""bright like the sun"" indicating the likeness of the brightness of the sun. ""Rupi na kasep"" would not make sense in the context of the metaphor.",1,,0
