Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
Bọ́lájí jẹun bí i ẹni tí kò jẹun fún ọdún mẹ́fà,Bọ́láji jẹun gan,Bọ́láji kò jẹun rárá,0,"{
  ""question"": ""Bọ́lájí jẹun bí i ẹni tí kò jẹun fún ọdún mẹ́fà"",
  ""option0"": ""Bọ́láji jẹun gan"",
  ""option1"": ""Bọ́láji kò jẹun rárá"",
  ""explanation"": ""The metaphor suggests that Bọ́lájí eats like someone who hasn't eaten in five years, emphasizing how voracious his eating habits are. Option 0) 'Bọ́láji jẹun gan' closely reflects this meaning as it implies that",1,NG,0
Bọ́lájí jẹun bí i ẹni tó ti yó,Bọ́láji jẹun gan,Bọ́láji kò jẹun rárá,1,"{
  ""question"": ""Bọ́lájí jẹun bí i ẹni tó ti yó"",
  ""option_selected"": 0,
  ""explanation"": ""This metaphor means that Bọ́lájí ate like someone who is hungry, which implies that Bọ́láji ate a lot. Option 0) Bọ́láji jẹun gan, closely relates to this meaning as it signifies that Bọ́láji ate a lot."",
  ""output"": 0
}",0,,0
Kúkúṣì ń bẹ lọ́wọ Fadékẹ́ bí i ti ẹ̀gbọ́n mi tó ń ta Kòkó,Fadékẹ́ ní owó lọ́wọ́ gan,Fadékẹ́ tálákà gan,0,"{
  ""answer"": 1
}

Explanation: The metaphor compares Fadékẹ́ to Kúkúṣì, suggesting that Fadékẹ́ is as valuable or precious as Kúkúṣì. Option 1) Fadékẹ́ tálákà gan translates to ""Fadékẹ́ is like gold,"" which conveys the idea of something precious or valuable, similar to the metaphor. Option 0) Fadékẹ́ ní owó lọ́wọ́ gan translates to ""Fadékẹ́ is in abundant supply,"" which does not match the metaphorical comparison being made.",1,,0
Ọwọ́ Fadékẹ́ ti kan ìsàlẹ̀ àpò bí i ti ẹ̀gbọ́n mi tó ń ta Kòkó,Fadékẹ́ ní owó lọ́wọ́ gan,Fadékẹ́ tálákà gan,1,"{
  ""answer"": 0
}

Explanation: The metaphor describes Fadékẹ́ as one who shines brightly like a well-polished brass pot, similar to the brilliance and glow of a well-polished pot. Option 0) Fadékẹ́ ní owó lọ́wọ́ gan is the closest meaning as it conveys the image of shining brightly, which aligns with the metaphor. Option 1) Fadékẹ́ tálákà gan means Fadékẹ́ is a young girl, which does not reflect the intended comparison in the metaphor.",0,,0
Ọbẹ̀ tí Àbẹ̀ní sè̀ ládùn bí i oyin,Ọbẹ̀ náà kò dùn,Ọbẹ̀ náà dùn ta lẹ́nu,0,"{""answer"":1}

This metaphor likens the way Àbẹ̀ní mixes the soup to be as sweet as honey, implying that the soup tastes delicious like honey. Option 1) ""Ọbẹ̀ náà dùn ta lẹ́nu"" means the soup tastes sweet on the tongue, which is the closest meaning to the metaphor.",1,,0
Gbogbo àwọn ẹni tí ọ̀ ń bá ṣọ̀rẹ́ lawọ́,Olè ni wọ́n,Wọ́n kì í ṣe olè,0,"{
  ""answer"": 1
}

Explanation: The phrase ""Gbogbo àwọn ẹni tí ọ̀ ń bá ṣọ̀rẹ́ lawọ́"" translates to ""Everyone who does not work should beg"". The metaphor implies that everyone should be responsible and work hard. Option 1) ""Wọ́n kì í ṣe olè"" translates to ""They should not be lazy"", which closely matches the metaphor. Option 0) ""Olè ni wọ́n"" translates to ""They are lazy"", which does not align with the metaphor.",1,,0
Ojo ni Àmọ̀pé kò lé dá pa áyán,Ọ̀lẹ ni Àmọ̀pé,Àmọ̀pé ní Akínkanjú,0,"{
  ""answer"": 1
}Explanation: In Yoruba culture, ""ojo ni Àmọ̀pé kò lé dá pa áyán"" translates to ""Àmọ̀pé cannot kill a lion with her eyes alone."" This is a metaphorical expression meaning that Àmọ̀pé is not strong or powerful enough to overcome a difficult or dangerous situation. In the given options, ""Àmọ̀pé ní Akínkanjú"" means Àmọ̀pé is not strong or skilled, which closely aligns with the metaphor. Therefore, the correct answer is option 1) Àmọ̀pe",1,,0
Ìgín ni Àlàmú nínu ká roko,Àlàmú kì í yára,Àlàmú má ń rìndìn,1,"{
  ""answer"": 0,
  ""explanation"": ""The metaphor suggests that the beginning is the most important part, similar to the meaning of 'Àlàmú kì í yára' which means the beginning is not where you stop.""
}",0,,0
Àwọ̀ Bọ́lájí rí bí i ti ááyán,Àwọ̀ Bọ́lájí dán,Àwọ̀ Bọ́lájí ti ṣá,0,"{
  ""answer"": 1
}

Explanation: The metaphor in this question is comparing Àwọ̀ Bọ́lájí to a seed that has been planted, waiting to sprout. Option 1) Àwọ̀ Bọ́lájí ti ṣá translates to ""Àwọ̀ Bọ́lájí has germinated,"" which aligns with the metaphor of growth and development. Option 0) Àwọ̀ Bọ́lájí dán would mean ""Àwọ̀ Bọ́lájí is planted,"" which does not capture the essence of growth implied in the metaphor.",1,,0
Oró inú àwọn olùkọ́ wa rí bí i ti ejò,Àwọn olùkọ́ wa burú gan,Àwọn olùkọ́ ò burú,1,"{
  ""answer"": 0
}

Explanation: The metaphor is comparing the behavior of the group of leaders to a wild animal. Option 0 ""Àwọn olùkọ́ wa burú gan"" means ""Our leaders are very fierce"", which is closer in meaning to the metaphor.",0,,0
Àwọn olùkọ́ wa ò ní oró nínú,Àwọn olùkọ́ wa burú gan,Àwọn olùkọ́ ò burú,0,"{
  ""question"": ""Àwọn olùkọ́ wa ò ní oró nínú"",
  ""options"": {
    ""0"": ""Àwọn olùkọ́ wa burú gan"",
    ""1"": ""Àwọn olùkọ́ ò burú""
  },
  ""answer"": 1
} 

Explanation: The metaphor ""Àwọn olùkọ́ wa ò ní oró nínú"" is comparing the leaders to being ineffective or not competent. Option 1) ""Àwọn olùkọ́ ò burú"" which means ""The leaders",1,,0
Oyin ni Óunjẹ tí a jẹ lánàá,Óunjẹ tí a jẹ lánàá dùn gan,Óunjẹ tí a jẹ lánàá kò dùn rárá,0,"{
  ""answer"": 1
}

Explanation: The metaphor is comparing eating honey with pleasure to emphasize that the action is enjoyable. Option 1 reflects the meaning that the food we are currently eating is not enjoyable at all, which is the opposite of the metaphor. Hence, the correct answer is option 1.",1,,0
Ewúro ni Óunjẹ tí a jẹ lánàá,Óunjẹ tí a jẹ lánàá dùn gan,Óunjẹ tí a jẹ lánàá kò dùn rárá,1,"{
	""Explanation"": ""The metaphor is comparing 'ewúro' (bitter leaf) to 'óunjẹ tí a jẹ lánàá' (a meal), suggesting that sometimes the things we experience may be bitter, but they are ultimately beneficial or enjoyable in the long run."",
	""Answer"": 0
}",0,,0
Àbíkẹ́ ní òye kukurú nípa iṣẹ́ agbẹ̀bí bí i àwọn dọ́kítà ilẹ̀ òkèrè,Àbíkẹ́ mọ iṣẹ́ agbẹ̀bí dáadáa,Àbíkẹ́ ò mọ iṣẹ́ agbẹ̀bí rárá,1,"{
  ""explanation"": ""The metaphor is suggesting that Abike is well-informed about the specific work of the doctors in the rural area, implying she knows the details of the job well."",
  ""answer"": 0
}",0,,0
Aṣọ àlà tí ó wọ̀ mọ́ ju ẹyín tí mo ṣẹ̀ṣẹl fọ̀ láàárọ̀ yìí lọ,Aṣọ funfun tí ó wọ̀ ti dọ̀tí,Aṣọ funfun tí ó wọ̀ mọ́ gan,0,"{
  ""answer"": 1
} 

Explanation: Aṣọ funfun tí ó wọ̀ mọ́ gan (Option 1) is the correct meaning as it signifies something that is very bright or obvious. In this context, the metaphor is comparing the brightness of a white cloth to the clarity of one's actions in this situation. Option 0 is not as fitting in this metaphorical context.",1,,0
Inú yàrá ìdánwò nàá palọ́lọ́ bí i itẹ́ òkú,Kò sí ariwo nínu yàrá ìdánwò náà,Ariwo ti pọ̀jù nínu yàrá ìdánwò nàá,0,"{
  ""answer"": 1
} 

Explanation: The metaphor ""Inú yàrá ìdánwò nàá palọ́lọ́ bí i itẹ́ òkú"" can be interpreted as ""there is silence in the graveyard as if it swallowed a drum."" Option 1) ""Ariwo ti pọ̀jù nínu yàrá ìdánwò nàá"" means ""the noise is deafening in the graveyard."" This option is closer to the metaphor because it contrasts the expected silence of a graveyard with the imagery of a loud noise, similar to a drum being swallowed, creating a vivid picture of the",1,,0
Gbogbo ara ìyá àgbà kò gan sínú ilé,Òtútù mú ìyá àgbà,Orú mú ìyá àgbà,1,"{
  ""answer"": 0
} 

Explanation: The metaphor ""Gbogbo ara ìyá àgbà kò gan sínú ilé"" translates to ""All the body parts of an elderly mother do not fit into the house"". This implies that the resources or support from an elderly mother are overwhelming and cannot be contained within the home. Option 0) ""Òtútù mú ìyá àgbà"" means ""The coldness affects an elderly mother"", which does not align with the metaphor. Option 1) ""Orú mú ìyá àgbà"" means ""The heat affects an elderly mother"", which is closer in meaning",0,,0
Àlàmú rí òkun náà tó ń kọrin lásìkò tó ń bọ̀ láti ibi iṣẹ́,Àlàmù rí òkun náà tó ń ru,Àlàmù rí òkun náà tó dákẹ́,0,"{
  ""Explanation"": ""The metaphor is comparing a verse to a journey that starts from a workplace. The closest meaning is that the verse is starting from a particular point or place."",
  ""Answer"": 1
}",1,,0
Ọmọdé ni arábìnrin tí ọ̀gá ṣẹ̀ṣẹ̀ gbà sí ẹnu iṣẹ́,Arábìnrin náà ò lójú ara,Arábìnrin lójú ara,0,"{
  ""answer"": 1
} 

Explanation: The metaphor ""Ọmọdé ni arábìnrin tí ọ̀gá ṣẹ̀ṣẹ̀ gbà sí ẹnu iṣẹ́"" translates to ""The young girl is like a skilled cook in the kitchen."" In this metaphor, the focus is on the girl being skilled in her work, rather than physically being in the kitchen. Therefore, the option ""Arábìnrin lójú ara"" which means ""Skilled woman"" is the closest meaning to the metaphor.",1,,0
Àgàn ni Àṣàbí fún ọgbọ̀n ọdún,Àṣàbí ò rọ́mọ bí fún ọgbọ̀n ọdún,Àṣàbí bí ọmọ tó pọ̀ fún ọgbọ̀n ọdún,1,"{
	""Explanation"": ""The metaphor compares an association to a child that grows over the years, emphasizing the deepening bond and knowledge that comes with time."",
	""Answer"": 0
}",0,,0
Abiyamọ ni Àṣàbí fún ọgbọ̀n ọdún,Àṣàbí ò rọ́mọ bí fún ọgbọ̀n ọdún,Àṣàbí bí ọmọ tó pọ̀ fún ọgbọ̀n ọdún,0,"{
  ""answer"": 1
} 

Explanation: The metaphor ""Abiyamọ ni Àṣàbí fún ọgbọ̀n ọdún"" translates to ""An ivory is like a gathering for the wise."" In this context, the closest meaning is option 1) Àṣàbí bí ọmọ tó pọ̀ fún ọgbọ̀n ọdún, which means ""Ivory resembles a child sent for the wise."" This option reflects the idea that ivory is precious and valuable, just like a child sent to learn from wise individuals.",1,,0
Láti kéreké ni Ìdòwú tí ń ṣe iṣẹ́ ọdẹ bí i bàbá rẹ̀,Ìdòwú ti pẹ́ gan nínú iṣẹ́ ọdẹ,Ìdòwú ṣẹ̀ṣẹ̀ bẹ̀rẹ̀ iṣẹ́ ọdẹ,0,"{
  ""answer"": 1
}

In this metaphor, ""Láti kéreké ni Ìdòwú tí ń ṣe iṣẹ́ ọdẹ bí i bàbá rẹ̀"" translates to ""The path of Idòwú resembles the work of a hunter like his father."" This implies that Idòwú is following in his father's footsteps or imitating his father's actions. Option 1) ""Idòwú ṣẹ̀ṣẹ̀ bẹ̀rẹ̀ iṣẹ́ ọdẹ"" which translates",1,,0
Láti kéreké ni Ìdòwú kò ti nífẹ̀ẹ́ si iṣẹ́ ọdẹ ṣíṣe,Ìdòwú ti pẹ́ gan nínú iṣẹ́ ọdẹ,Ìdòwú ṣẹ̀ṣẹ̀ bẹ̀rẹ̀ iṣẹ́ ọdẹ,1,"{
  ""answer"": 0
}

The metaphor in the startphrase suggests that ""Ìdòwú"" has not yet started working on the task of hunting. Option 0) ""Ìdòwú ti pẹ́ gan nínú iṣẹ́ ọdẹ"" means ""Ìdòwú has not yet started the task of hunting,"" which is closest in meaning to the metaphor.",0,,0
Orí Gbádébọ̀ rí bí i orí òkè olúmọ,Orí Gbádébọ̀ tóbi gan,Orí Gbádébọ̀ kò tóbi,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares Orí Gbádébọ̀ to a mountain peak, which implies that Orí Gbádébọ̀ is grand or impressive. Option 0) Orí Gbádébọ̀ tóbi gan means Orí Gbádébọ̀ is very impressive or grand, which aligns with the metaphor. Option 1) Orí Gbádébọ̀ kò tóbi means Orí Gbádébọ̀ is not very impressive, which does not align with the metaphor.",0,,0
Orí Gbádébọ̀ kò rí bí i orí òkè olúmọ,Orí Gbádébọ̀ tóbi gan,Orí Gbádébọ̀ kò tóbi,0,"{
  ""answer"": 1
}

Explanation: The metaphor is comparing Orí Gbádébọ̀ to a small hill, emphasizing that Orí Gbádébọ̀ is not as large or prominent as a big mountain (olúmọ). So, the meaning closest to the metaphor is ""Orí Gbádébọ̀ kò tóbi"" which implies that Orí Gbádébọ̀ is not very tall or significant.",1,,0
Ẹsẹ̀ Bólájí rẹwà bí i tọmọ ìkókó,Ẹsẹ Bólájí gùn gan,Ẹsẹ Bólájí kéré gan,0,"{
	""Explanation"": ""The metaphor is comparing Bolaji to a small fish in the ocean, emphasizing his insignificance or lack of experience."",
	""Answer"": 1
}",1,,0
Eyín rẹ̀ funfun bí i ẹyẹ àdàbà,Eyin rẹ̀ mọ́,Eyin rẹ̀ dọ̀tí,0,"{
  ""answer"": 1
}

Explanation: The metaphor compares ""your eyes are white like a dove"" to ""your eyes are innocent like a dove"". The option ""Eyin rẹ̀ dọ̀tí"" captures the innocence and purity associated with doves, which is the closest meaning to the metaphor.",1,,0
Adékúnlé dárípọ́ bí i orí aláǹgbá,Orí Adékúnlé pọ́n,Orí Adékúnlé kò pọ́n,0,"{
  ""answer"": 1
}

Explanation: The metaphor compares Adékúnlé to the head of a coconut tree, which is high and unreachable. The option ""Orí Adékúnlé kò pọ́n"" means Adékúnlé's head is not within reach, which closely matches the metaphorical comparison.",1,,0
Ọlọ́yàyà ni Bọ́látíto,Bọ́látitó máa ń dá nìkan wà,Bọ́látitó máa ń wà pẹ̀lú àwọn ọ̀pọ̀ ènìyàn,0,"{
  ""answer"": 1
}  

Explanation: The metaphor ""Ọlọ́yàyà ni Bọ́látíto"" compares two people, Ọlọ́yàyà and Bọ́látíto. The options suggest two possible meanings: 0) Bọ́látitó and Ọlọ́yàyà are the same person and 1) Bọ́látitó interacts with other people. Since the metaphor mentions both Ọlọ́yàyà and Bọ́látíto as separate entities, the closest meaning would be that Bọ́látitó",1,,0
Paramọ́lẹ̀ ni Àbẹ̀kẹ́,Kò sí ẹni tó mọ ìṣe Àbẹ̀kẹ́,Gbogbo wa la mọ ìṣe Àbẹ̀kẹ́,1,"{
  ""explanation"": ""The metaphor is emphasizing the uniqueness of Àbẹ̀kẹ́ in that no one else knows the job that Àbẹ̀kẹ́ does, highlighting his uniqueness."",
  ""answer"": 0
}",0,,0
Àbẹ̀kẹ́ kì i ṣe Paramọ́lẹ̀,Kò sí ẹni tó mọ ìṣe Àbẹ̀kẹ́,Gbogbo wa la mọ ìṣe Àbẹ̀kẹ́,0,"{
  ""answer"": 1
} 

Explanation: The metaphor compares Àbẹ̀kẹ́ to Paramọ́lẹ̀, implying that everyone is capable of doing what Àbẹ̀kẹ́ does. Option 1 reflects this meaning by stating that everyone knows how to do what Àbẹ̀kẹ́ does, which is the closest interpretation of the metaphor.",1,,0
Ẹlẹ́nu ẹyẹ ni Àgbékẹ́,Àgbékẹ́ máa ń fẹnu ba èèyàn jẹ́,Àgbékẹ́ máa ń fẹnu kọrin,1,"{
  ""answer"": 0
} 

Explanation: The startphrase ""Ẹlẹ́nu ẹyẹ ni Àgbékẹ́"" is a metaphor which translates to ""Àgbékẹ́ is a fowl thief."" This metaphor suggests that Àgbékẹ́ steals fowls. Option 0) ""Àgbékẹ́ máa ń fẹnu ba èèyàn jẹ́"" translates to ""Àgbékẹ́ will sneakily steal the chickens"" which is closest in meaning to the metaphor. Option 1) ""A",0,,0
Aládúrà ni Àgbékẹ́,Àgbékẹ́ máa ń fẹnu ba èèyàn jẹ́,Àgbékẹ́ máa ń fẹnu yin ènìyàn,0,"{
  ""explanation"": ""Àgbékẹ́ is the one who sets the pace or leads in worship, hence the closest meaning is \""Àgbékẹ́ máa ń fẹnu yin ènìyàn\"" (Àgbékẹ́ is the one who will guide you in worship)"",
  ""answer"": 1
}",1,,0
Ọmọ náà kò mọ nǹkankan nípa Ifá,Ọmọ náà mọ Ifá dáadáa,Wọ́n ti kọ Ifá fún ọmọ náà sínú ìwè,1,"{
  ""answer"": 0
}",0,,0
Àkàrà Gbádégẹṣin àti àbúrò rẹ̀ ti tú sépo bí i ti bàbá wọn tó wà lẹ́wọ̀n,Àṣírí Gbádégẹṣin àti àbúrò rẹ̀ ti tú,Àṣírí Gbádégẹṣin àti àbúrò ti bò,0,"{
  ""Explanation"": ""The metaphor is describing the relationship between Àkàrà Gbádégẹṣin and àbúrò as being very close or inseparable."",
  ""Answer"": 1
}",1,,0
Ojú ọ̀run náà ò lóyún omi,Òjò náà sú lánàá ó tó ago mọ́kànlá kó tó rọ̀,Òjò náà kò sú lánàá kò sì rọ̀ ní ago mọ́kànlá,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the situation to a cloud that carries water without raining. Option 0 is the closest meaning as it implies that the cloud has water but has not released it yet, similar to the situation being discussed. Option 1 implies that the cloud does not have water to release, which is not in line with the metaphor.",0,,0
