anchor,positive,negative,lang
ನಮ್ಮ ಊರು ಕಾಡಿನಂತೆ ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಹೊಂದಿದೆ,ನಮ್ಮ ಊರು ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಹೊಂದಿದೆ,ನಮ್ಮ ಊರು ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಹೊಂದಿಲ್ಲ,kn
ಹಳ್ಳಿಯ ಮನೆ ತುಂಬಾ ದೊಡ್ಡದಾಗಿ ಇದೆ,ಹಳ್ಳಿಯ ಮನೆ ತುಂಬಾ ದೊಡ್ಡದಾಗಿ ಇದೆ,ಹಳ್ಳಿಯ ಮನೆ ತುಂಬಾ ಚಿಕ್ಕದಾಗಿ ಇದೆ,kn
ಅದು ಧರ್ಮಸ್ಥಳದಂತೆ ಪವಿತ್ರ ಕ್ಷೇತ್ರ,ಅದು ಪವಿತ್ರ ಕ್ಷೇತ್ರ,ಅದು ಪವಿತ್ರ ಕ್ಷೇತ್ರವಲ್ಲ,kn
Yeye ni chui,ana mbio sana,ana mwendo wa polepole,sw
Kue buatan temanku rasanya seperti makan jarum ketika sariawan.,Kuenya tidak enak dimakan.,Kuenya enak dimakan.,id
Ning TV saiki akeh pejabat sing umpama duwe ajining godhong garing,Ning TV saiki akeh pejabat sing ora duwe wibawa,Ning TV saiki akeh pejabat sing duwe wibawa,jv
ಅವಳ ಕೈಬರಹ ಕಂಪ್ಯೂಟರ್ ಚೇಟಿಯಂತೆ ಅಚ್ಚುಕಟ್ಟಾಗಿದೆ,ಅವಳ ಕೈಬರಹ ಅಚ್ಚುಕಟ್ಟಾಗಿದೆ,ಅವಳ ಕೈಬರಹ ಅಚ್ಚುಕಟ್ಟಾಗಿಲ್ಲ,kn
Kesabarane ibu nang anak-anake kaya samudra,Kesabarane ibu nang anak-anake jembar banget,Kesabarane ibu nang anak-anake sempit banget,jv
Ngawiti dina senen iku seabot nyunggi kapuk,Ngawiti dina senen iku enteng,Ngawiti dina senen iku abot banget,jv
Bọ́lájí jẹun bí i ẹni tí kò jẹun fún ọdún mẹ́fà,Bọ́láji jẹun gan,Bọ́láji kò jẹun rárá,yo
Akuarium hotel ieu meuni saageung sea world,Akuarium hotel ieu ageung,Akuarium hotel ieu alit.,su
Carita kae marai ati rasa kaya disiram banyu kembang,Carita kae marai ati rasa bungah,Carita kae marai ati rasa duka,jv
Janet ni ua la waridi,Janet hunipendeza usiku na mchana,Janet hunichukiza usiku na mchana,sw
ಅವಳ ಕಣ್ಣು ವಜ್ರದಂತೆ ಹೊಳೆಯುತ್ತಿತ್ತು,ಅವಳ ಕಣ್ಣು ಹೊಳೆಯುತ್ತಿತ್ತು,ಅವಳ ಕಣ್ಣು ಹೊಳೆಯುತ್ತಿರಲಿಲ್ಲ,kn
Yule ni sumu.,Namchukia sana.,Nampenda sana.,sw
राम की आँखों में सपना झोंककर उसे किसी ने नकली नोट दे दिया।,राम को प्यार से किसी ने नकली नोट दे दिया।,राम को धोके से किसी ने नकली नोट दे दिया।,hi
Gari lake li la thamani kama nguo za mitumba,Gari lake ni la bei ya chini,Gari lake ni la thamani sana,sw
हार्दिक उगते सूरज की तरह ताजा है।,वह बहुत थका हुआ है।,वह बहुत चुस्त है।,hi
पेंट करना किसी रोमांटिक फिल्म देखने के समान है।,पेंट करना बहुत अच्छा लगता है। ,पेंट करना बहुत उबाऊ लगता है।,hi
"Jika diamati, wajahnya seperti bulan dari dekat.","Jika diamati, wajahnya buruk, dari segi teksturnya.","Jika diamati, wajahnya cantik dan indah.",id
Ẹ jẹ́ ká kó ọ̀rọ̀ náà síta,Ẹ jẹ́ kí á tú pa àṣírí ọ̀rọ̀ náà mọ́,Ẹ jẹ́ kí á pa àṣírí ọ̀rọ̀ náà mọ́,yo
Siang hari minum es cendol dawet ibarat air yang baru mendidih dari panci.,Minum es cendol dawet di siang hari itu sangat membuat panas dalam organ.,Minum es cendol dawet di siang hari itu sangat menyegarkan.,id
Masakane Bu Mardi rasane kaya panganan wong lara,Masakane Bu Mardi rasane ora enak,Masakane Bu Mardi rasane enak,jv
भिखारी भालू की तरह भूखा था। ,भिकारी को खाने का लालच था। ,भिकारी को खाने का लालच नहीं था। ,hi
Wong iku kulite kaya kulit boyo,Wong iku kulite kaya kasar kaya kulit boyo,Wong iku kulite kaya lembut kaya kulit bayi,jv
Bàbá Àlàbí fọwọ́rọrí kú ni,Bàbá Àlàbí kú fúra rẹ̀,Wọ́n pa bàbá Àlàbí,yo
ಅದರ ಬಣ್ಣ ನೀರಿನಂತೆ ಬಿಳಿಯಾಗಿದೆ,ಅದರ ಬಣ್ಣ ಬಿಳಿಯಾಗಿಲ್ಲ,ಅದರ ಬಣ್ಣ ಬಿಳಿಯಾಗಿದೆ,kn
She is as transparent as a window,You can see her intentions,You can't tell what kind of person she is,en_dev
उसका दिल शहरों के मकानों की तरह विशाल था।,दिल बहुत छोटा था।,दिल बहुत बड़ा था। ,hi
We have all the time of the lifespan of a housefly,We have very little time,We have a lot of time,en_dev
Dia bagaikan  padang pasir yang gersang dan tandus.,Dia  selalu murung.,Dia selalu ceria.,id
शिखा ने प्रमोशन के लिए एक खिलाड़ी की तरह बात की।  ,शिखा ने प्रमोशन के लिए हक़ से बात की। ,शिखा ने प्रमोशन के लिए सहमे हुए बात की। ,hi
स्विमिंग जंगली पगडंडी की तरह सीखी जा सकती है। ,स्विमिंग बहुत मुश्किल है। ,स्विमिंग बहुत आसान है। ,hi
ಆ ತಿಂಡಿ ಡೊನಟ್ ನಂತೆ ಮೃದುವಾಗಿದೆ,ಆ ತಿಂಡಿ ಮೃದುವಾಗಿದೆ,ಆ ತಿಂಡಿ ಮೃದುವಾಗಿಲ್ಲ,kn
ಆ ರಸ್ತೆಯು ಹಿಲ್ ಸ್ಟೇಷನಂತೆ ನೇರವಾಗಿದೆ,ಆ ರಸ್ತೆಯು ನೇರವಾಗಿಲ್ಲ,ಆ ರಸ್ತೆಯು ನೇರವಾಗಿದೆ,kn
Tisu merek eta mah saalus karung beas.,Tisu merek eta mah kasar.,Tisu merek eta mah alus,su
Cat di imah maneh mah jiun imah kawas panggung dangdut akademi.,Cat imah maneh mah jieun imah caang.,Cat imah maneh mah jieun imah poek,su
Àwọn Olúwálé gbaná jẹ,Àwọn Olúwálé jẹ oúnjẹ,Àwọn Olúwálé bínú gidigidi,yo
Ilikuwa na spidi ya risasi,Ilikuwa fasta,Ilikuwa taratibu,sw
Neno la Mungu ni gari bila mafuta,Neno la Mungu halitoshi kukuongoza,Neno la Mungu linatosha kukuongoza vyema,sw
The girl is as predictable as the Titanic sinking,The girl was totally unpredictable.,The girl was very predictable.,en_dev
ಆ ಪಕ್ಷಿಯ ಗಾತ್ರ ಗುಬ್ಬಚಿಯಷ್ಟು ಕಡಿಮೆಯಿದೆ,ಆ ಪಕ್ಷಿಯ ಗಾತ್ರ ಕಡಿಮೆಯಿದೆ,ಆ ಪಕ್ಷಿಯ ಗಾತ್ರ ಕಡಿಮೆಯಿಲ್ಲ,kn
ಅವನ ನಗು ವಯಸ್ಕರರಷ್ಟು ನಿಷ್ಕಲ್ಮಶವಾಗಿದೆ.,ಅವನ ನಗು ನಿಷ್ಕಲ್ಮಶವಾಗಿಲ್ಲ,ಅವನ ನಗು ನಿಷ್ಕಲ್ಮಶವಾಗಿದೆ.,kn
The light has the shine of a flashing neon sign,The light is shining brightly.,The light is very dim.,en_dev
ಆ ಮನೆಯ ಸಾವಿನ ಮನೆಯಂತೆ ಇತ್ತು,ಆ ಮನೆಯಲ್ಲಿ ಸಂಭ್ರಮವಿಲ್ಲ,ಆ ಮನೆಯಲ್ಲಿ ಸಂಭ್ರಮವಿತ್ತು,kn
यात्रा में सफ़र फूलों में चलने जैसा होगा।,यात्रा बहुत सुहावनी होगी।,यात्रा बहुत कठिन होगी।,hi
ಅವರ ಬಂಧವು ಶತ್ರುಗಳಂತೆ ಗಟ್ಟಿಯಾಗಿದೆ,ಅವರ ಬಂಧವು ಗಟ್ಟಿಯಾಗಿಲ್ಲ,ಅವರ ಬಂಧವು ಗಟ್ಟಿಯಾಗಿದೆ,kn
वो मकान सोने चांदी सा महंगा है। ,वह मकान बहुत महंगा है। ,वह मकान बहुत सस्ता है। ,hi
Umemaliza shule ukakuwa maarufu kama mtoto wa kati,Umemaliza shule na hakuna anayekutambua,Umemaliza shule na ukakuwa maarufu hivi punde,sw
Mwanafunzi huyu ana kichwa kigumu,Mwanafunzi haelewi kirahisi,Mwanafunzi anaelewa kiurahisi,sw
Ọmọ yẹn padà dúró,Ọmọ yẹn padà kú,Ọmọ yẹ padà yè,yo
"Aisha, endelea tu kupiga mdomo","Aisha, endelea tu kuongea sana","Aisha, funga mdomo wako",sw
Kenya ni paradiso,Ni mahali pazuri sana,Ni mahali pabaya sana,sw
Manehna naroskeun patarosan anu seuket siga peso,Manehna naroskeun patarosan anu penting,Manehna naroskeun patarosan anu asal ngucap.,su
Diajar matematika umpama diajar maca jang budak SMA,Diajar matematika sesah,Diajar matematika gampil.,su
संजू ने कुश्ती में इतनी जल्दी मुक्के टेक दिए। ,संजू ने कुश्ती में इतनी जल्दी मारना शुरू कर दिया। ,संजू ने कुश्ती में इतनी जल्दी मान ली। ,hi
HIs opinions were as firm as a cotton ball,He was very uncertain of his opinion,He was very certain of his opinion,en_dev
The car is a whale,The car is large,The car is small,en_dev
युद्ध के मैदान में हमारे सैनिकों ने फ़ूलों पर पैर रखकर विजय प्राप्त की।,युद्ध में हमारे सैनिकों ने आसानी से विजय प्राप्त की।,युद्ध में हमारे सैनिकों ने मुश्किलों से विजय प्राप्त की।,hi
The child was as pretty as the dog poop on my shoe.,The child was ugly.,The child was beautiful.,en_dev
Rezeki setelah menikah itu bagaikan hujan deras yang jatuh ke bumi dan mengalir sampai jauh ke sungai-sungai.,Rezeki setelah menikah itu melimpah.,Rezeki setelah menikah itu berkekurangan.,id
Di dunya ieu aya jalma anu sarupa setan.,Di dunya ieu aya jalma anu jahat pisan.,Di dunya ieu aya jalma anu baik pisan,su
Olójú àánú ni àwọn olóṣèlú Ẹ̀kó,Olè l'àwọn olóṣèlú ìlú Èkó,Àwọn olóṣèlú ìlú Èkó kì í ṣe olè,yo
फिल्म में शैतान की सिखलाई थी। ,फिल्म बुराई से भरी थी।,फिल्म अच्छाई से भरी थी। ,hi
ಆ ವಸ್ತುವು ತಾಮ್ರದಂತೆ ಸೂಕ್ಷ್ಮವಾಗಿತ್ತು,ಆ ವಸ್ತು ತುಂಬಾ ಗಟ್ಟಿ,ಆ ವಸ್ತು ತುಂಬಾ ಸೂಕ್ಷ್ಮ,kn
Parkiran omahe paklik kaya teras omah,Parkiran omahe paklik sempit,Parkiran omahe paklik amba nemen,jv
ಆ ಪ್ರಾಣಿಯು ನಾಯಿಯಂತೆ ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿದೆ,ಆ ಪ್ರಾಣಿಯು ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿಲ್ಲ,ಆ ಪ್ರಾಣಿಯು ಕನ್ನಿಂಗ್ ಗುಣ ಹೊಂದಿದೆ,kn
O ó fò ṣánlẹ̀,Ó dọmọdé,Ó darúgbó,yo
Rumaja jaman kiwari mah rasa nasionalismena siga jerona balong keur lauk.,Rasa nasionalisme rumaja rendah.,Rasa nasionalisme rumaja tinggi,su
Pikirane kaya rel sepur,Mikire dawa,Mikire cendhak,jv
"Ibarat tinggal di neraka, semenjak ayah menikah lagi.","Setelah ayah menikah lagi, kehidupan semakin buruk.","Setelah ayah menikah lagi, kehidupan sangat indah.",id
The water was as warm as an icicle,The water was cold,The water was scalding hot,en_dev
ಆತನು ನಾಯಿಯಂತೆ ನಿಷ್ಟಾವಂತ,ಆತನು ನಿಷ್ಟಾವಂತ,ಆತನು ನಿಷ್ಟಾವಂತನಲ್ಲ,kn
Werno wulu kucing iku kaya areng,Werna wulu kucing iku ireng,Werna wulu kucing iku putih,jv
ನೆಗಡಿ ಅಂತೆ ಅಪಾಯಕಾರಿ,ಅದು ಅಪಾಯಕಾರಿಯಲ್ಲ,ಅದು ಅಪಾಯಕಾರಿ,kn
