anchor,positive,negative,lang
Her face glowed like the reflection of a dusty mirror,her face was dull,Her face was luminous,en_dev
He was the size of an ape.,He was huge.,He was small.,en_dev
He was the size of an ant.,He was small.,He was huge.,en_dev
The song had the creativity of an ameba.,The song was too simplistic.,The song was very complex and beautiful.,en_dev
The song had the creativity of all the paintings in the Louvre.,The song was very complex and beautiful.,The song was too simplistic.,en_dev
That movie was as long as a 25-year-old tapeworm,It's extremely long,It's as short as can be,en_dev
That movie was as long as Howie Mandel's hair,It's as short as can be,It's extremely long,en_dev
The playground is as safe as Dracula's fangs.,The playground is dangerous.,The playground is secure.,en_dev
The playground is as safe as an insurance policy.,The playground is secure.,The playground is dangerous.,en_dev
The manager added kindling to our spark.,The manager motivated his employees.,The manager demotivated his employees.,en_dev
The manager added water to our spark.,The manager demotivated his employees.,The manager motivated his employees.,en_dev
The student was as gifted as an entrepreneur,he has talant,he was talentless,en_dev
The student was as gifted as a blind otter,he was talentless,he has talant,en_dev
The woman was as glamourous as a movie star,she was fancy,she was unkempt,en_dev
The woman was as glamourous as an old shoe,she was unkempt,she was fancy,en_dev
His height was comparable to a redwood tree,He was tall,He was short,en_dev
His height was comparable to a mouse,He was short,He was tall,en_dev
She came up to eye level with a giraffe,She was tall,She was short,en_dev
She came up to eye level with a toddler,She was short,She was tall,en_dev
The restaurant's plat du jour was the ambrosia of the gods,The food was delicious,The food was disgusting,en_dev
The restaurant's plat du jour was hot garbage,The food was disgusting,The food was delicious,en_dev
The car was as useful as a pool with no water,the car was useless,the car was helpful,en_dev
The car was as useful as silverware during dinner,the car was helpful,the car was useless,en_dev
My dog eats like a mayfly,My dog is never eating,My dog never ceases eating,en_dev
My dog eats like a tarrare,My dog never ceases eating,My dog is never eating,en_dev
That film as disastrous as the launch of the Xbox One in 2013,It isn't very good,It's quite successful,en_dev
That film as disastrous as the Abraham Lincoln presidency,It's quite successful,It isn't very good,en_dev
The concept was as confusing as a scrambled egg,The concept was hard to understand.,The concept was easy to understand.,en_dev
The concept was as confusing as a kiddie puzzle,The concept was easy to understand.,The concept was hard to understand.,en_dev
The burrito has the heat of a volcano,The burrito is hot,The burrito is cold,en_dev
The burrito has the heat of an iceberg,The burrito is cold,The burrito is hot,en_dev
Time moved like a snail.,Time was slow.,Time was fast.,en_dev
Time moved like a cheetah.,Time was fast.,Time was slow.,en_dev
The man has the patience of a monk.,The man is very patient.,The man is very impatient.,en_dev
The man has the patience of a cat in a bath.,The man is very impatient.,The man is very patient.,en_dev
The art is as colorful as a rainbow,the art is vibrant,the art is dull,en_dev
The art is as colorful as a cloudy sky,the art is dull,the art is vibrant,en_dev
The man's head was as handsome as a work of art,The man's head was attractive,The man's head was ugly,en_dev
The man's head was as handsome as a trash can,The man's head was ugly,The man's head was attractive,en_dev
The building is as old as the universe itself,It's very old,It's brand new,en_dev
The building is as old as the baby that will be born tomorrow,It's brand new,It's very old,en_dev
That fan has the blowing power of the Greek god Aeolus,It can blow a lot,It can hardly blow at all,en_dev
That fan has the blowing power of an unplugged hairdryer,It can hardly blow at all,It can blow a lot,en_dev
The sandwich meat was as moist as a towelette,The sandwich meat was moist.,The sandwich meat was dry.,en_dev
The sandwich meat was as moist as sandpaper,The sandwich meat was dry.,The sandwich meat was moist.,en_dev
She was as big as a lady bug.,She was small.,She was big.,en_dev
She was as big as a elephant.,She was big.,She was small.,en_dev
The future had the brightness of a mud puddle,The future is dull,The future is bright,en_dev
The future had the brightness of diamond,The future is bright,The future is dull,en_dev
The girl's happiness exploded like a bottle of champagne,The girl's happiness was effusive.,The girl's happiness didn't really explode at all.,en_dev
The girl's happiness exploded like a lullaby,The girl's happiness didn't really explode at all.,The girl's happiness was effusive.,en_dev
The problem was as big as a Tootsie Roll,The problem was small.,The problem was large.,en_dev
The problem was as big as Antarctica,The problem was large.,The problem was small.,en_dev
The girl's temper was a lit match,The girl was easily provoked.,The girl's temper was even.,en_dev
The girl's temper was a low tide,The girl's temper was even.,The girl was easily provoked.,en_dev
The book I just finished reading is a compass of my life.,The book contains a lot of timeless wisdom and helpful knowledge.,The book's content is so trashy and useless that one can't bear reading it again.,en_dev
The book I just finished reading is my new bug smasher.,The book's content is so trashy and useless that one can't bear reading it again.,The book contains a lot of timeless wisdom and helpful knowledge.,en_dev
The snake has the skin of a desert dweller who has never touched a bottle of lotion,The snake has dry and scaly skin,The snake's skin is not dry and scaly,en_dev
"The snake has the skin of a slimy, aquatic eel",The snake's skin is not dry and scaly,The snake has dry and scaly skin,en_dev
The reporter was as tall as a basektball center,the reporter was tall,the reporter was short,en_dev
The reporter was as tall as a midget,the reporter was short,the reporter was tall,en_dev
The disease is spreading like a wild fire,It is spreading quickly,It is spreading slowly,en_dev
The disease is spreading like a growth of a finger nail,It is spreading slowly,It is spreading quickly,en_dev
The teen was a skyscraper,The teen was tall.,The teen was short.,en_dev
The teen was an anthill,The teen was short.,The teen was tall.,en_dev
The investigation had the weight of A bunch of feathers,The investigation is not important,The investigation has a major impact,en_dev
The investigation had the weight of A city-wide ripple effect,The investigation has a major impact,The investigation is not important,en_dev
The teacher is as encouraging as a parent,the teacher helps,the teacher doesn't help,en_dev
The teacher is as encouraging as a dead bird,the teacher doesn't help,the teacher helps,en_dev
Her hair had the luster of a horse's chestnut mane,Her hair was shiny,Her hair was dull,en_dev
Her hair had the luster of straw,Her hair was dull,Her hair was shiny,en_dev
His class had all the brilliance of a light bulb,His class was brilliant,His class was not so smart.,en_dev
His class had all the brilliance of a rock,His class was not so smart.,His class was brilliant,en_dev
The house was as cozy as a winter cabin on a cold night.,The house was comfortable to be in.,The house was uncomfortable to be in.,en_dev
The house was as cozy as a prison cell.,The house was uncomfortable to be in.,The house was comfortable to be in.,en_dev
The soldier was as tough as nails,The soldier is very tough,The soldier is very weak,en_dev
The soldier was as tough as cotton,The soldier is very weak,The soldier is very tough,en_dev
She was as fragile as an elephant,She was sturdy and not fragile,She was extremely fragile,en_dev
She was as fragile as a crystal teacup,She was extremely fragile,She was sturdy and not fragile,en_dev
Her closest relative may as well be a horse,She is ugly,She is dainty,en_dev
Her closest relative may as well be a bird,She is dainty,She is ugly,en_dev
The athlete was as good as mike tyson in the 80s,the athlete was great,the athlete was bad,en_dev
The athlete was as good as mike tyson when he's 80,the athlete was bad,the athlete was great,en_dev
The student was as confused as a dog at a spelling bee,he didn't know what was going on,he knew everything,en_dev
The student was as confused as a lawyer in court,he knew everything,he didn't know what was going on,en_dev
The corner was as busy as a parade,The corner was busy,The corner was abandoned and not busy,en_dev
The corner was as busy as a graveyard,The corner was abandoned and not busy,The corner was busy,en_dev
The book was as entertaining as a party,The book was entertaining.,The book was not entertaining at all.,en_dev
The book was as entertaining as a funeral,The book was not entertaining at all.,The book was entertaining.,en_dev
The artist is as creative as vanilla ice cream,The artist has no new ideas.,The artist is very creative.,en_dev
The artist is as creative as caramel balsamic swirl ice cream,The artist is very creative.,The artist has no new ideas.,en_dev
This show has as many episode as a centipede has legs,It has many episodes,It has very few,en_dev
This show has as many episode as there are moons in the night sky,It has very few,It has many episodes,en_dev
Me and my relative have rhe closeness of conjoined twins,They're extremely close,They very far apart,en_dev
Me and my relative have rhe closeness of the north and south poles,They very far apart,They're extremely close,en_dev
The house is as fragile as steel,The house is strong,The house is weak,en_dev
The house is as fragile as silk,The house is weak,The house is strong,en_dev
The actor got as much attention as a lion exhibit at a zoo,The actor got tons of attention.,The actor got no attention at all.,en_dev
The actor got as much attention as a grain of sand at a beach,The actor got no attention at all.,The actor got tons of attention.,en_dev
That shirt looks like a Garbage bag,It is ugly,It is pretty,en_dev
That shirt looks like a Rose bush,It is pretty,It is ugly,en_dev
The book has the respect of A doctor,It is well respected,It is not highly respected,en_dev
The book has the respect of A conspiracy theorist,It is not highly respected,It is well respected,en_dev
My new car has the reliability of a penny stock,My new car is unpredictable,My new car is dependable,en_dev
My new car has the reliability of a finely-tuned piano,My new car is dependable,My new car is unpredictable,en_dev
The foundation was flat as a board,The foundation was flat.,The foundation was round and curved.,en_dev
The foundation was flat as a globe,The foundation was round and curved.,The foundation was flat.,en_dev
The car is as fast as a turtle,the car is slow,the car is speedy,en_dev
The car is as fast as a bolt of lightning,the car is speedy,the car is slow,en_dev
He's running faster than a cheetah on jet,He's running fast,He's not moving at all,en_dev
He's running faster than a dead snail,He's not moving at all,He's running fast,en_dev
The man's temper was a habanero pepper,The man had a big temper.,The man had a mild temper.,en_dev
The man's temper was a cup of oat milk.,The man had a mild temper.,The man had a big temper.,en_dev
The government is as stable as a broken bridge,The government is falling apart,The government is very strong and stable.,en_dev
The government is as strong as a brick house,The government is very strong and stable.,The government is falling apart,en_dev
The odds of winning the lottery are as good as finding a needle in a haystack,The odds of sinning the lottery  are extremely low,The odds of winning the lottery are fantastic,en_dev
The odds of winning the lottery are as good as lighting a match and expecting fire.,The odds of winning the lottery are fantastic,The odds of sinning the lottery  are extremely low,en_dev
she is as exuberant as a dog on a car ride,she is excited,she is tired,en_dev
she is as exuberant as a sloth in bed,she is tired,she is excited,en_dev
He is fair as a priest,he is nice,he is mean,en_dev
He is fair as a devil,he is mean,he is nice,en_dev
The branch was as sturdy as a steel beam,The branch was sturdy enough to hold a lot of weight.,The branch was weak and could snap easily.,en_dev
The branch was as sturdy as a twig,The branch was weak and could snap easily.,The branch was sturdy enough to hold a lot of weight.,en_dev
That thing is sucking up as much electricity as a 1950s refrigerator,It uses a lot of electricity,It uses no electricity,en_dev
That thing is sucking up as much electricity as the Wii U in the closet,It uses no electricity,It uses a lot of electricity,en_dev
The play has the excitement of a sleeping tortoise.,The play is dull.,The play is rousing.,en_dev
The play has the excitement of a lottery jackpot.,The play is rousing.,The play is dull.,en_dev
The girl is as predictable as ocean waves crashing,The girl was very predictable.,The girl was totally unpredictable.,en_dev
The girl is as predictable as the Titanic sinking,The girl was totally unpredictable.,The girl was very predictable.,en_dev
The man has the height of a mountain,The man is tall,The man is short,en_dev
The man has the height of a footstool,The man is short,The man is tall,en_dev
The house is as enchanting as a castle,the house is pretty,the house is ugly,en_dev
The house is as enchanting as roadkill,the house is ugly,the house is pretty,en_dev
The student was as sharp as A dull knife,The student us dumb,The student is smart,en_dev
The student was as sharp as A porcupine's quill,The student is smart,The student us dumb,en_dev
His singing voice is sounds like Fingernails on a blackboard,The voice makes you cringr,The voice is calming,en_dev
His singing voice is sounds like A lilting breeze,The voice is calming,The voice makes you cringr,en_dev
The goods were as valuable as gold,The goods were valuable,The goods were worthless,en_dev
The goods were as valuable as dirt,The goods were worthless,The goods were valuable,en_dev
The puzzle was as easy as pie,The puzzle was easy,The puzzle was hard.,en_dev
The puzzle was as easy as brain surgery,The puzzle was hard.,The puzzle was easy,en_dev
The politician was as popular as apple pie,The politician was very popular.,The politician was very unpopular.,en_dev
The politician was as popular as a root canal,The politician was very unpopular.,The politician was very popular.,en_dev
The meeting was as lively as a funeral procession.,The meeting was not lively at all.,The meeting was very lively.,en_dev
The meeting was as lively as a group of children in a bouncy house.,The meeting was very lively.,The meeting was not lively at all.,en_dev
He shopped for the item like a bride picking out her dress,He shopped with great care,He shopped in a hurry,en_dev
He shopped for the item like a robber getting away,He shopped in a hurry,He shopped with great care,en_dev
Watching the movie was like going to the dentist's office,The movie was dreadful,The movie was enjoyable,en_dev
Watching the movie was like going to the carnival,The movie was enjoyable,The movie was dreadful,en_dev
The cookie was as chewy as a Tootsie Roll,The cookie was perfectly chewy.,The cookie was extremely dense and tough.,en_dev
The cookie was as chewy as a brick,The cookie was extremely dense and tough.,The cookie was perfectly chewy.,en_dev
The pizza delivery guy had the speed of an Olympic sprinter,The pizza arrived quickly.,The pizza took forever to come.,en_dev
The pizza delivery guy had the speed of a tectonic plate,The pizza took forever to come.,The pizza arrived quickly.,en_dev
The pot roast has the aroma of swamp water.,The pot roast smells bad.,The pot roast smells flavorsome.,en_dev
The pot roast has the aroma of a grandmother's kitchen.,The pot roast smells flavorsome.,The pot roast smells bad.,en_dev
The photograph has the clarity of an inkblot test.,The photograph is out of focus.,The photograph is crystal clear.,en_dev
The photograph has the clarity of a full rainbow.,The photograph is crystal clear.,The photograph is out of focus.,en_dev
He has the political prowess of a Kennedy,He has good political skills,He lacks skill in politics,en_dev
He has the political prowess of a newborn baby,He lacks skill in politics,He has good political skills,en_dev
This puzzle has the difficulty of putting a man on Mars,It is very difficult,It is very easy,en_dev
This puzzle has the difficulty of a child’s block sorting game,It is very easy,It is very difficult,en_dev
The boy was as funny as a comedian,it was funny,it wasn't funny,en_dev
The boy was as funny as a dead fly,it wasn't funny,it was funny,en_dev
The politician's apology was a chess move.,The politician's apology was calculated.,The politician's apology was chaotic.,en_dev
The politician's apology was an avalanche.,The politician's apology was chaotic.,The politician's apology was calculated.,en_dev
He was as dangerous as a viper,He was very dangerous,He was not dangerous,en_dev
He was as dangerous as a flea,He was not dangerous,He was very dangerous,en_dev
The water was as warm as the surface of the sun,The water was scalding hot,The water was cold,en_dev
The water was as warm as an icicle,The water was cold,The water was scalding hot,en_dev
Her excuse had the conviction of a deserting soldier.,Her excuse lacked conviction.,Her excuse was full of conviction.,en_dev
Her excuse had the conviction of a revivalist preacher.,Her excuse was full of conviction.,Her excuse lacked conviction.,en_dev
The threat was an oncoming train,The threat was imminent.,The threat was distant.,en_dev
The threat was a third cousin thrice removed,The threat was distant.,The threat was imminent.,en_dev
Their love was as easy to understand as a Bob Dylan lyric.,Their love was complex and hard to interpret.,Their love was hot and short lived.,en_dev
Their love was as a California wildfire season.,Their love was hot and short lived.,Their love was complex and hard to interpret.,en_dev
The book grabbed my attention like legalese in a merger agreement,The book totally bored me.,The book really interested me.,en_dev
The book grabbed my attention like a trashy magazine headline,The book really interested me.,The book totally bored me.,en_dev
Her thoughts were like a yo-yo,Her thoughts were all over the place.,Her thoughts were steady.,en_dev
Her thoughts were like a spring stream,Her thoughts were steady.,Her thoughts were all over the place.,en_dev
Her ego was a Ritz cracker,Her ego was very fragile.,Her ego was unshakeable.,en_dev
Her ego was a brick building,Her ego was unshakeable.,Her ego was very fragile.,en_dev
His mind is a steel cage,He has a very good memory and rarely forgets anything,"His memory is terrible, things go in one ear and out the other",en_dev
His mind is an open barn door,"His memory is terrible, things go in one ear and out the other",He has a very good memory and rarely forgets anything,en_dev
The screen was dim like a flashlight.,The screen was bright.,The screen was dim.,en_dev
The screen was dim like a candle.,The screen was dim.,The screen was bright.,en_dev
That politician's speech was a good as Lincoln's Gettysburg Address,The speech was sycinct and powerful,The speech was overbearing and boring.,en_dev
That politician's speech was a good as a college professor dense lecture.,The speech was overbearing and boring.,The speech was sycinct and powerful,en_dev
you are as hard as pillow,You are soft,You are stubborn,en_dev
you are as hard as rock,You are stubborn,You are soft,en_dev
You are as tough as an egg,eggs crack,coconuts are hard,en_dev
You are as tough as a coconut,coconuts are hard,eggs crack,en_dev
The girl is as good at camouflaging her emotions as a chameleon,The girl hides her emotions well.,The girl shows off her emotions.,en_dev
The girl is as good at camouflaging her emotions as a peacock,The girl shows off her emotions.,The girl hides her emotions well.,en_dev
My bank account is dry as the Sahara,"My bank account is barren, I have no money","My bank account is fat with cash, I'm rich",en_dev
My bank account is stuffed like a Thanksgiving turkey,"My bank account is fat with cash, I'm rich","My bank account is barren, I have no money",en_dev
The sandwich has the cheesiness of the moon as depicted in cartoons,The sandwich is very cheesy,The sandwich lacks cheese,en_dev
The sandwich has the cheesiness of a pizza without the primary topping,The sandwich lacks cheese,The sandwich is very cheesy,en_dev
The tower has the wind resistance of metal roofing on a fair weather day,The tower has a high wind resistance,The tower has almost no resistance to wind,en_dev
The tower has the wind resistance of candy wrapper caught in an updraft,The tower has almost no resistance to wind,The tower has a high wind resistance,en_dev
The body has the survivability of a hungry tiger in a hen house,It has high survivability,It has a low survivability rate,en_dev
The body has the survivability of a paper bag in a stormy ocean,It has a low survivability rate,It has high survivability,en_dev
She rode that horse like An acrobat,She rode it well,She rode it poorly,en_dev
She rode that horse like A seizure victim,She rode it poorly,She rode it well,en_dev
The speech was as inspiring as A cement block,It is dull,It is motivating,en_dev
The speech was as inspiring as A legless marathon runner,It is motivating,It is dull,en_dev
The glass is a clear as Ikea instructions,It is not clear,It is see thru,en_dev
The glass is a clear as Saran wrap,It is see thru,It is not clear,en_dev
The cookies tasted like hardtack.,The cookies are awful.,The cookies are delicous.,en_dev
The cookies tasted like heaven.,The cookies are delicous.,The cookies are awful.,en_dev
The floor was as slippery as oil,The floor was slippery.,The floor wasn't slippery at all.,en_dev
The floor was as slippery as sandpaper,The floor wasn't slippery at all.,The floor was slippery.,en_dev
The gem was as fake as a bad toupee,The gem was obviously fake.,The gem was obviously real.,en_dev
The gem was as fake as the air we breathe,The gem was obviously real.,The gem was obviously fake.,en_dev
The boys are as disciplined as the military,The boys are highly disciplined.,The boys lack any discipline.,en_dev
The boys are as disciplined as barrel monkeys,The boys lack any discipline.,The boys are highly disciplined.,en_dev
The helicopter had the reliability of a collapsing tower.,The helicopter was not reliable.,The helicopter was very reliable.,en_dev
The helicopter had the reliability of a battleship.,The helicopter was very reliable.,The helicopter was not reliable.,en_dev
This book is like silk in my hands.,This book is hard to put down.,This book is forgettable.,en_dev
This book is like hard-cover amnesia.,This book is forgettable.,This book is hard to put down.,en_dev
The teams passion was burning like an inferno,The team had a lot of passion,THe team had very little passion,en_dev
The teams passion was burning like a match,THe team had very little passion,The team had a lot of passion,en_dev
The sword was as sharp as a laser,The sword was sharp,The sword was dull,en_dev
The sword was as sharp as a stick,The sword was dull,The sword was sharp,en_dev
He maneuvered with the tactical precision of an experienced general.,He manuevered skillfully.,He maneuvered poorly.,en_dev
He maneuvered with the tactical precision of a clown car.,He maneuvered poorly.,He manuevered skillfully.,en_dev
The ending was as satisfying as a Thanksgiving dinner with all the trimmings.,The ending was satisfying.,The ending was unsatisfying.,en_dev
The ending was as satisfying as a stale saltine cracker.,The ending was unsatisfying.,The ending was satisfying.,en_dev
That guy is as smart as a rock,The guy is dumb,The guy is intelligent,en_dev
That guy is as smart as a computer,The guy is intelligent,The guy is dumb,en_dev
The friendship was as meaningful as a contract on a napkin,The friendship wasn't meaningful at all.,The friendship was highly meaningful.,en_dev
The friendship was as meaningful as an international treaty,The friendship was highly meaningful.,The friendship wasn't meaningful at all.,en_dev
The child was as still as a marble slab,The child was totally still.,The child couldn't stop moving.,en_dev
The child was as still as a waterfall,The child couldn't stop moving.,The child was totally still.,en_dev
He is as strong as a diamond.,He is very strong.,He is weak.,en_dev
He is as strong as a piece of graphite.,He is weak.,He is very strong.,en_dev
He has the satisfaction of a master chef after making a 5 star meal,He is very satisfied,He has very little satisfaction,en_dev
He has the satisfaction of a master chef aftet making a bowl of canned 🍝,He has very little satisfaction,He is very satisfied,en_dev
She had the dedication of a gnat,She is flighty and unfocused,She applies pressure consistently and over time.,en_dev
She had the dedication of a tectonic plate,She applies pressure consistently and over time.,She is flighty and unfocused,en_dev
The desire she felt was a mere trickle,She felt little desire,She felt a strong desire,en_dev
The desire she felt was a surging wave,She felt a strong desire,She felt little desire,en_dev
The man has the taste of a picky child.,The man has poor taste in things.,The man has exquisite and fine taste in things.,en_dev
The man has the taste of the Queen of England.,The man has exquisite and fine taste in things.,The man has poor taste in things.,en_dev
The bed is as comfortable as cloud.,The bed is very comfortable.,The bed is very uncomfortable.,en_dev
The bed is as comfortable as seeing your ex.,The bed is very uncomfortable.,The bed is very comfortable.,en_dev
She has the patience of a saint,She is very patient,She is not patient at all,en_dev
She has the patience of a bull,She is not patient at all,She is very patient,en_dev
He has the morality of a puppy dog.,He is very moral and kind.,He is not very moral or kind.,en_dev
He has the morality of a vulture.,He is not very moral or kind.,He is very moral and kind.,en_dev
His desire for her was a runaway horse.,His desire for her was wild.,His desire for her was dormant.,en_dev
His desire for her was a snail.,His desire for her was dormant.,His desire for her was wild.,en_dev
He could sprint like the wind,He was fast.,He was slow.,en_dev
He could sprint like a tortoise,He was slow.,He was fast.,en_dev
They fit each other's personalities like a plug in a socket,They fit each other's personalities perfectly.,They don't fit each other's personalities well at all.,en_dev
They fit each other's personalities like a magnet on paper,They don't fit each other's personalities well at all.,They fit each other's personalities perfectly.,en_dev
